"k","signal_cluster","cluster_ordered","signal_mode","beta","summary_type","GLaD_0.5_unweighted","GLaD_0.5_weighted","GLaD_1_unweighted","GLaD_1_weighted","GUniFrac","aitchison","bray","euclidean","jaccard","unifrac_unweighted","unifrac_weighted_phyloseq"
6,1,2,"abundance",0.05,"power",0.05,0.07,0.05,0.07,0.09,0.04,0.05,0.07,0.05,0.05,0.08
6,1,2,"abundance",0.1,"power",0.07,0.06,0.04,0.06,0.06,0.05,0.1,0.07,0.1,0.03,0.05
6,1,2,"abundance",0.15,"power",0.08,0.05,0.03,0.05,0.08,0.06,0.05,0.03,0.05,0.05,0.06
6,1,2,"abundance",0.2,"power",0.06,0.06,0.05,0.09,0.05,0.05,0.04,0.02,0.04,0.06,0.04
6,1,2,"abundance",0.25,"power",0.05,0.09,0.06,0.1,0.06,0.03,0.04,0.05,0.03,0.06,0.08
6,1,2,"abundance",0.3,"power",0.06,0.09,0.06,0.1,0.12,0.05,0.12,0.04,0.11,0.05,0.11
6,1,2,"abundance",0.35,"power",0.06,0.17,0.08,0.13,0.31,0.05,0.26,0.14,0.25,0.05,0.25
6,1,2,"abundance",0.4,"power",0.01,0.22,0.04,0.22,0.38,0.02,0.18,0.17,0.19,0.01,0.31
6,1,2,"abundance",0.45,"power",0.07,0.25,0.02,0.2,0.46,0.11,0.33,0.18,0.31,0.02,0.4
6,1,2,"abundance",0.5,"power",0.02,0.44,0.06,0.37,0.73,0.09,0.51,0.28,0.48,0.03,0.63
6,1,2,"abundance",0.55,"power",0.03,0.41,0.07,0.36,0.69,0.1,0.53,0.29,0.52,0.1,0.63
6,1,2,"abundance",0.6,"power",0.08,0.46,0.07,0.4,0.79,0.11,0.54,0.33,0.53,0.04,0.68
6,1,2,"both",0.05,"power",0.06,0.1,0.07,0.12,0.04,0.02,0.03,0.07,0.04,0.02,0.09
6,1,2,"both",0.1,"power",0.08,0.06,0.09,0.08,0.05,0.05,0.05,0.06,0.04,0.06,0.1
6,1,2,"both",0.15,"power",0.11,0.07,0.06,0.05,0.1,0.06,0.09,0.06,0.08,0.11,0.1
6,1,2,"both",0.2,"power",0.13,0.06,0.08,0.08,0.14,0.1,0.05,0.06,0.04,0.09,0.07
6,1,2,"both",0.25,"power",0.12,0.15,0.04,0.12,0.25,0.08,0.16,0.06,0.14,0.08,0.21
6,1,2,"both",0.3,"power",0.22,0.21,0.11,0.18,0.41,0.15,0.15,0.12,0.14,0.13,0.32
6,1,2,"both",0.35,"power",0.27,0.27,0.12,0.23,0.52,0.26,0.21,0.15,0.18,0.16,0.42
6,1,2,"both",0.4,"power",0.42,0.34,0.16,0.26,0.7,0.42,0.4,0.16,0.39,0.23,0.52
6,1,2,"both",0.45,"power",0.56,0.36,0.2,0.3,0.8,0.56,0.44,0.18,0.48,0.33,0.57
6,1,2,"both",0.5,"power",0.69,0.53,0.19,0.4,0.95,0.78,0.67,0.31,0.64,0.57,0.83
6,1,2,"both",0.55,"power",0.81,0.63,0.24,0.57,0.99,0.86,0.69,0.34,0.68,0.68,0.91
6,1,2,"both",0.6,"power",0.91,0.71,0.37,0.68,1,0.92,0.81,0.37,0.81,0.74,0.97
6,1,2,"prevalence",0.05,"power",0.04,0.07,0.07,0.02,0.07,0.05,0.05,0.08,0.05,0.08,0.04
6,1,2,"prevalence",0.1,"power",0.08,0.06,0.07,0.05,0.09,0.08,0.08,0.08,0.08,0.1,0.07
6,1,2,"prevalence",0.15,"power",0.06,0.06,0.09,0.07,0.07,0.06,0.08,0.05,0.08,0.09,0.05
6,1,2,"prevalence",0.2,"power",0.08,0.06,0.13,0.05,0.08,0.08,0.06,0.05,0.07,0.08,0.06
6,1,2,"prevalence",0.25,"power",0.13,0.05,0.09,0.06,0.03,0.09,0.01,0.05,0.02,0.16,0.03
6,1,2,"prevalence",0.3,"power",0.21,0.04,0.17,0.05,0.12,0.18,0.05,0.05,0.05,0.21,0.08
6,1,2,"prevalence",0.35,"power",0.32,0.02,0.14,0.06,0.04,0.16,0.05,0.05,0.08,0.25,0.03
6,1,2,"prevalence",0.4,"power",0.39,0.05,0.15,0.03,0.11,0.18,0.07,0.08,0.07,0.31,0.04
6,1,2,"prevalence",0.45,"power",0.58,0.09,0.23,0.06,0.16,0.28,0.1,0.07,0.1,0.43,0.13
6,1,2,"prevalence",0.5,"power",0.68,0.08,0.18,0.06,0.14,0.35,0.04,0.07,0.05,0.54,0.08
6,1,2,"prevalence",0.55,"power",0.86,0.05,0.29,0.05,0.15,0.39,0.09,0.03,0.06,0.62,0.06
6,1,2,"prevalence",0.6,"power",0.87,0.05,0.41,0.06,0.23,0.48,0.09,0.05,0.09,0.79,0.1
6,2,1,"abundance",0.05,"power",0.05,0.08,0.04,0.11,0.06,0.07,0.03,0.07,0.03,0.05,0.07
6,2,1,"abundance",0.1,"power",0.05,0.05,0.05,0.05,0.07,0.08,0.04,0.04,0.04,0.03,0.07
6,2,1,"abundance",0.15,"power",0.01,0.18,0.05,0.19,0.09,0.01,0.07,0.08,0.07,0.04,0.16
6,2,1,"abundance",0.2,"power",0.06,0.12,0.05,0.15,0.12,0.02,0.05,0.07,0.04,0.07,0.13
6,2,1,"abundance",0.25,"power",0.04,0.29,0.02,0.27,0.22,0.03,0.08,0.1,0.09,0.04,0.3
6,2,1,"abundance",0.3,"power",0.07,0.35,0.09,0.39,0.29,0.08,0.13,0.09,0.14,0.07,0.38
6,2,1,"abundance",0.35,"power",0.05,0.4,0.06,0.41,0.36,0.11,0.23,0.12,0.22,0.07,0.4
6,2,1,"abundance",0.4,"power",0.07,0.58,0.06,0.57,0.47,0.07,0.25,0.19,0.24,0.07,0.57
6,2,1,"abundance",0.45,"power",0.08,0.69,0.03,0.67,0.58,0.15,0.35,0.29,0.35,0.07,0.64
6,2,1,"abundance",0.5,"power",0.06,0.8,0.04,0.79,0.8,0.08,0.52,0.38,0.53,0.08,0.82
6,2,1,"abundance",0.55,"power",0.02,0.86,0.05,0.86,0.79,0.07,0.55,0.33,0.55,0.02,0.88
6,2,1,"abundance",0.6,"power",0.05,0.91,0.07,0.92,0.89,0.11,0.66,0.46,0.63,0.05,0.93
6,2,1,"both",0.05,"power",0.03,0.06,0.11,0.08,0.06,0.04,0.04,0.04,0.03,0.01,0.09
6,2,1,"both",0.1,"power",0.07,0.03,0.03,0.08,0.04,0.1,0.06,0.03,0.03,0.08,0.02
6,2,1,"both",0.15,"power",0.06,0.18,0.06,0.17,0.16,0.07,0.11,0.1,0.1,0.06,0.14
6,2,1,"both",0.2,"power",0.13,0.24,0.07,0.26,0.21,0.09,0.11,0.13,0.11,0.08,0.25
6,2,1,"both",0.25,"power",0.13,0.3,0.18,0.29,0.26,0.07,0.16,0.11,0.17,0.08,0.26
6,2,1,"both",0.3,"power",0.16,0.58,0.1,0.59,0.6,0.24,0.19,0.16,0.22,0.13,0.62
6,2,1,"both",0.35,"power",0.22,0.71,0.17,0.69,0.71,0.36,0.3,0.15,0.26,0.17,0.75
6,2,1,"both",0.4,"power",0.31,0.67,0.19,0.68,0.76,0.45,0.4,0.16,0.38,0.18,0.73
6,2,1,"both",0.45,"power",0.48,0.79,0.2,0.8,0.88,0.65,0.46,0.23,0.45,0.33,0.86
6,2,1,"both",0.5,"power",0.66,0.92,0.31,0.91,0.99,0.82,0.77,0.34,0.74,0.44,0.95
6,2,1,"both",0.55,"power",0.69,0.96,0.27,0.92,0.99,0.92,0.8,0.41,0.79,0.45,0.97
6,2,1,"both",0.6,"power",0.85,0.99,0.39,0.98,1,0.94,0.86,0.46,0.86,0.68,0.99
6,2,1,"prevalence",0.05,"power",0.04,0.05,0.03,0.04,0.07,0.05,0.08,0.08,0.08,0.03,0.08
6,2,1,"prevalence",0.1,"power",0.03,0.08,0.09,0.07,0.09,0.04,0.11,0.09,0.08,0.04,0.1
6,2,1,"prevalence",0.15,"power",0.03,0.1,0.07,0.09,0.09,0.04,0.08,0.08,0.08,0.04,0.12
6,2,1,"prevalence",0.2,"power",0.08,0.07,0.06,0.07,0.05,0.04,0.07,0.06,0.08,0.07,0.05
6,2,1,"prevalence",0.25,"power",0.11,0.06,0.08,0.09,0.04,0.07,0.04,0.07,0.03,0.04,0.08
6,2,1,"prevalence",0.3,"power",0.12,0.06,0.13,0.03,0.08,0.09,0.05,0.05,0.05,0.1,0.05
6,2,1,"prevalence",0.35,"power",0.26,0.07,0.1,0.08,0.11,0.21,0.11,0.06,0.11,0.16,0.08
6,2,1,"prevalence",0.4,"power",0.26,0.04,0.15,0.06,0.07,0.2,0.02,0.05,0.03,0.14,0.05
6,2,1,"prevalence",0.45,"power",0.39,0.08,0.23,0.08,0.13,0.23,0.12,0.05,0.1,0.26,0.12
6,2,1,"prevalence",0.5,"power",0.57,0.08,0.18,0.1,0.08,0.29,0.04,0.05,0.05,0.37,0.11
6,2,1,"prevalence",0.55,"power",0.73,0.12,0.27,0.09,0.22,0.5,0.07,0.05,0.08,0.56,0.11
6,2,1,"prevalence",0.6,"power",0.83,0.05,0.31,0.06,0.17,0.56,0.07,0.08,0.06,0.64,0.06
6,3,6,"abundance",0.05,"power",0.03,0.02,0.07,0.03,0.07,0.05,0.07,0.06,0.07,0.06,0.03
6,3,6,"abundance",0.1,"power",0.06,0.01,0.04,0.02,0.02,0.04,0,0.01,0,0.08,0
6,3,6,"abundance",0.15,"power",0.05,0.05,0.09,0.07,0.05,0.05,0.03,0.03,0.02,0.05,0.04
6,3,6,"abundance",0.2,"power",0.09,0.02,0.04,0.02,0.02,0.07,0.02,0.04,0.02,0.04,0.02
6,3,6,"abundance",0.25,"power",0.08,0.05,0.06,0.05,0.06,0.06,0.02,0.04,0.02,0.08,0.04
6,3,6,"abundance",0.3,"power",0.04,0.12,0.03,0.09,0.08,0.09,0.09,0.07,0.07,0.06,0.1
6,3,6,"abundance",0.35,"power",0.06,0.09,0.03,0.08,0.08,0.05,0.07,0.05,0.06,0.05,0.11
6,3,6,"abundance",0.4,"power",0.05,0.05,0.05,0.03,0.05,0.05,0.05,0.04,0.06,0.05,0.06
6,3,6,"abundance",0.45,"power",0.07,0.05,0.04,0.07,0.07,0.07,0.05,0.05,0.05,0.07,0.08
6,3,6,"abundance",0.5,"power",0.04,0.1,0.01,0.07,0.14,0.09,0.12,0.1,0.1,0.04,0.12
6,3,6,"abundance",0.55,"power",0.03,0.05,0.04,0.06,0.12,0.03,0.05,0.06,0.07,0.03,0.06
6,3,6,"abundance",0.6,"power",0.06,0.1,0.04,0.08,0.26,0.08,0.1,0.08,0.11,0.06,0.16
6,3,6,"both",0.05,"power",0.03,0.04,0.05,0.06,0.03,0.07,0.04,0.03,0.02,0.04,0.03
6,3,6,"both",0.1,"power",0.09,0.06,0.03,0.06,0.08,0.08,0.05,0.04,0.05,0.06,0.08
6,3,6,"both",0.15,"power",0.04,0.04,0.04,0.04,0.07,0.06,0.08,0.04,0.07,0.09,0.05
6,3,6,"both",0.2,"power",0.07,0.03,0.07,0.03,0.05,0.07,0.02,0.05,0.03,0.06,0.07
6,3,6,"both",0.25,"power",0.2,0.04,0.09,0.06,0.08,0.16,0.06,0.06,0.06,0.2,0.05
6,3,6,"both",0.3,"power",0.19,0.06,0.13,0.05,0.19,0.17,0.11,0.07,0.11,0.22,0.09
6,3,6,"both",0.35,"power",0.31,0.09,0.1,0.09,0.27,0.28,0.1,0.04,0.11,0.26,0.15
6,3,6,"both",0.4,"power",0.33,0.09,0.19,0.07,0.47,0.39,0.16,0.07,0.13,0.45,0.21
6,3,6,"both",0.45,"power",0.51,0.09,0.24,0.07,0.57,0.46,0.11,0.07,0.11,0.58,0.16
6,3,6,"both",0.5,"power",0.72,0.13,0.31,0.1,0.69,0.58,0.17,0.08,0.16,0.72,0.29
6,3,6,"both",0.55,"power",0.86,0.28,0.43,0.19,0.91,0.77,0.35,0.11,0.33,0.87,0.53
6,3,6,"both",0.6,"power",0.95,0.19,0.45,0.19,0.97,0.89,0.36,0.15,0.36,0.96,0.55
6,3,6,"prevalence",0.05,"power",0.04,0.07,0.03,0.07,0.03,0.04,0.04,0.05,0.05,0.02,0.03
6,3,6,"prevalence",0.1,"power",0.04,0.05,0.06,0.03,0.03,0.06,0.04,0.01,0.04,0.02,0.04
6,3,6,"prevalence",0.15,"power",0.08,0.05,0.11,0.05,0.04,0.04,0.03,0.01,0.03,0.1,0.06
6,3,6,"prevalence",0.2,"power",0.11,0.04,0.11,0.03,0.04,0.07,0.06,0.05,0.05,0.11,0.04
6,3,6,"prevalence",0.25,"power",0.14,0.05,0.11,0.06,0.06,0.06,0.06,0.04,0.06,0.21,0.03
6,3,6,"prevalence",0.3,"power",0.18,0.04,0.14,0.05,0.05,0.04,0.02,0.03,0.02,0.18,0.03
6,3,6,"prevalence",0.35,"power",0.29,0.04,0.16,0.05,0.08,0.16,0.06,0.03,0.07,0.35,0.02
6,3,6,"prevalence",0.4,"power",0.41,0.04,0.23,0.04,0.1,0.12,0.06,0.01,0.04,0.46,0.06
6,3,6,"prevalence",0.45,"power",0.48,0.03,0.18,0.03,0.1,0.19,0.06,0.01,0.05,0.54,0.05
6,3,6,"prevalence",0.5,"power",0.67,0.07,0.37,0.04,0.18,0.29,0.07,0.07,0.06,0.79,0.07
6,3,6,"prevalence",0.55,"power",0.8,0.06,0.3,0.08,0.2,0.39,0.05,0.05,0.07,0.84,0.05
6,3,6,"prevalence",0.6,"power",0.92,0.08,0.4,0.06,0.29,0.43,0.08,0.05,0.08,0.93,0.1
6,4,3,"abundance",0.05,"power",0.06,0.07,0.03,0.05,0.02,0.09,0.03,0.03,0.04,0.04,0.03
6,4,3,"abundance",0.1,"power",0.05,0.05,0.09,0.06,0.05,0.04,0.05,0.03,0.04,0.05,0.05
6,4,3,"abundance",0.15,"power",0.03,0.06,0.07,0.06,0.06,0.04,0.03,0.05,0.06,0.04,0.07
6,4,3,"abundance",0.2,"power",0.05,0.04,0.02,0.04,0.09,0.05,0.09,0.07,0.06,0.05,0.06
6,4,3,"abundance",0.25,"power",0.03,0.07,0.03,0.06,0.07,0.03,0.09,0.07,0.08,0.04,0.08
6,4,3,"abundance",0.3,"power",0.06,0.04,0.06,0.04,0.13,0.06,0.09,0.07,0.08,0.05,0.11
6,4,3,"abundance",0.35,"power",0.03,0.08,0.02,0.04,0.15,0.05,0.07,0.06,0.06,0.04,0.14
6,4,3,"abundance",0.4,"power",0.09,0.13,0.05,0.06,0.24,0.09,0.15,0.12,0.17,0.11,0.17
6,4,3,"abundance",0.45,"power",0.06,0.2,0.06,0.16,0.33,0.1,0.22,0.15,0.2,0.05,0.32
6,4,3,"abundance",0.5,"power",0.06,0.25,0.04,0.15,0.46,0.09,0.29,0.14,0.28,0.05,0.43
6,4,3,"abundance",0.55,"power",0.03,0.24,0.03,0.13,0.6,0.06,0.27,0.15,0.31,0.01,0.44
6,4,3,"abundance",0.6,"power",0.04,0.36,0.06,0.21,0.62,0.09,0.38,0.24,0.39,0.02,0.5
6,4,3,"both",0.05,"power",0.06,0.04,0.08,0.04,0.03,0.05,0.04,0.03,0.03,0.08,0.04
6,4,3,"both",0.1,"power",0.04,0.03,0.07,0.02,0.06,0.03,0.04,0.07,0.05,0.03,0.05
6,4,3,"both",0.15,"power",0.05,0.04,0.05,0.06,0.09,0.05,0.06,0.06,0.09,0.04,0.09
6,4,3,"both",0.2,"power",0.12,0.07,0.07,0.07,0.15,0.13,0.08,0.05,0.08,0.06,0.11
6,4,3,"both",0.25,"power",0.07,0.06,0.1,0.05,0.11,0.09,0.07,0.06,0.06,0.09,0.07
6,4,3,"both",0.3,"power",0.19,0.11,0.11,0.05,0.33,0.19,0.15,0.09,0.15,0.17,0.2
6,4,3,"both",0.35,"power",0.21,0.2,0.16,0.1,0.43,0.29,0.2,0.11,0.18,0.14,0.35
6,4,3,"both",0.4,"power",0.38,0.27,0.16,0.15,0.55,0.46,0.35,0.12,0.35,0.16,0.46
6,4,3,"both",0.45,"power",0.47,0.27,0.24,0.13,0.74,0.56,0.35,0.13,0.34,0.31,0.52
6,4,3,"both",0.5,"power",0.68,0.33,0.31,0.14,0.85,0.79,0.5,0.16,0.46,0.46,0.63
6,4,3,"both",0.55,"power",0.82,0.45,0.31,0.24,0.96,0.87,0.67,0.28,0.64,0.59,0.82
6,4,3,"both",0.6,"power",0.86,0.56,0.34,0.29,0.99,0.92,0.78,0.33,0.79,0.68,0.91
6,4,3,"prevalence",0.05,"power",0.04,0.09,0.03,0.1,0.04,0.05,0.04,0.05,0.03,0.02,0.04
6,4,3,"prevalence",0.1,"power",0.07,0.07,0.11,0.08,0.06,0.05,0.04,0.05,0.05,0.05,0.06
6,4,3,"prevalence",0.15,"power",0.03,0.05,0.06,0.05,0.06,0.05,0.07,0.08,0.07,0.06,0.05
6,4,3,"prevalence",0.2,"power",0.06,0.04,0.09,0.06,0.06,0.08,0.02,0.06,0.05,0.07,0.06
6,4,3,"prevalence",0.25,"power",0.13,0.06,0.11,0.04,0.11,0.08,0.1,0.1,0.08,0.08,0.06
6,4,3,"prevalence",0.3,"power",0.18,0.04,0.15,0.05,0.05,0.17,0.06,0,0.06,0.14,0.05
6,4,3,"prevalence",0.35,"power",0.18,0.04,0.16,0.01,0.09,0.15,0.06,0.04,0.05,0.17,0.03
6,4,3,"prevalence",0.4,"power",0.27,0.05,0.17,0.03,0.06,0.13,0.04,0.06,0.05,0.18,0.06
6,4,3,"prevalence",0.45,"power",0.44,0.05,0.24,0.05,0.06,0.21,0.06,0.03,0.03,0.26,0.06
6,4,3,"prevalence",0.5,"power",0.68,0.03,0.29,0.05,0.12,0.38,0.07,0.06,0.07,0.49,0.06
6,4,3,"prevalence",0.55,"power",0.77,0.05,0.26,0.06,0.12,0.52,0.03,0.04,0.03,0.57,0.07
6,4,3,"prevalence",0.6,"power",0.83,0.05,0.37,0.05,0.12,0.48,0.04,0.03,0.05,0.69,0.08
6,5,4,"abundance",0.05,"power",0.05,0.04,0.06,0.04,0.06,0.05,0.06,0.06,0.07,0.04,0.04
6,5,4,"abundance",0.1,"power",0.06,0.02,0.03,0.04,0.02,0.03,0.04,0.03,0.04,0.03,0.03
6,5,4,"abundance",0.15,"power",0.09,0.04,0.05,0.06,0.06,0.06,0.02,0.04,0.04,0.05,0.05
6,5,4,"abundance",0.2,"power",0.05,0.05,0.06,0.06,0.1,0.06,0.08,0.1,0.08,0.07,0.04
6,5,4,"abundance",0.25,"power",0.01,0.04,0.07,0.03,0.07,0.04,0.04,0.04,0.04,0.03,0.04
6,5,4,"abundance",0.3,"power",0.03,0.08,0.04,0.06,0.1,0.06,0.09,0.05,0.08,0.04,0.07
6,5,4,"abundance",0.35,"power",0.04,0.11,0.05,0.07,0.11,0.03,0.06,0.03,0.08,0.04,0.09
6,5,4,"abundance",0.4,"power",0.04,0.15,0.04,0.14,0.16,0.06,0.15,0.11,0.13,0.04,0.12
6,5,4,"abundance",0.45,"power",0.02,0.11,0.01,0.12,0.17,0.04,0.15,0.09,0.14,0.03,0.13
6,5,4,"abundance",0.5,"power",0.04,0.25,0.02,0.17,0.26,0.08,0.23,0.21,0.21,0.03,0.27
6,5,4,"abundance",0.55,"power",0.06,0.25,0.05,0.22,0.33,0.06,0.23,0.13,0.21,0.07,0.25
6,5,4,"abundance",0.6,"power",0.04,0.37,0.05,0.28,0.51,0.07,0.26,0.25,0.25,0.04,0.44
6,5,4,"both",0.05,"power",0.04,0.05,0.07,0.02,0.03,0.05,0.06,0.05,0.06,0.04,0.04
6,5,4,"both",0.1,"power",0.1,0.04,0.08,0.05,0.12,0.11,0.07,0.03,0.07,0.06,0.08
6,5,4,"both",0.15,"power",0.07,0.11,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08
6,5,4,"both",0.2,"power",0.05,0.11,0.07,0.07,0.1,0.08,0.13,0.12,0.12,0.07,0.09
6,5,4,"both",0.25,"power",0.18,0.08,0.11,0.06,0.17,0.22,0.12,0.06,0.13,0.15,0.1
6,5,4,"both",0.3,"power",0.09,0.12,0.18,0.09,0.16,0.1,0.12,0.08,0.13,0.12,0.12
6,5,4,"both",0.35,"power",0.16,0.23,0.12,0.2,0.26,0.19,0.15,0.09,0.15,0.15,0.22
6,5,4,"both",0.4,"power",0.37,0.19,0.14,0.17,0.44,0.45,0.3,0.16,0.28,0.31,0.26
6,5,4,"both",0.45,"power",0.41,0.26,0.16,0.22,0.64,0.49,0.34,0.11,0.32,0.38,0.35
6,5,4,"both",0.5,"power",0.57,0.33,0.2,0.27,0.7,0.65,0.34,0.12,0.31,0.5,0.43
6,5,4,"both",0.55,"power",0.64,0.39,0.31,0.35,0.95,0.81,0.55,0.25,0.55,0.64,0.61
6,5,4,"both",0.6,"power",0.79,0.53,0.32,0.41,0.96,0.88,0.65,0.28,0.62,0.71,0.71
6,5,4,"prevalence",0.05,"power",0.06,0.09,0.07,0.08,0.05,0.06,0.07,0.05,0.06,0.08,0.06
6,5,4,"prevalence",0.1,"power",0.05,0.06,0.01,0.05,0.05,0.05,0.04,0.02,0.03,0.06,0.08
6,5,4,"prevalence",0.15,"power",0.13,0.06,0.08,0.05,0.05,0.07,0.05,0.06,0.06,0.11,0.04
6,5,4,"prevalence",0.2,"power",0.12,0.07,0.08,0.03,0.06,0.07,0.04,0.05,0.04,0.08,0.05
6,5,4,"prevalence",0.25,"power",0.1,0.04,0.07,0.04,0.06,0.06,0.06,0.05,0.04,0.07,0.02
6,5,4,"prevalence",0.3,"power",0.14,0.03,0.12,0.04,0.1,0.09,0.06,0.05,0.05,0.11,0.05
6,5,4,"prevalence",0.35,"power",0.23,0.04,0.15,0.02,0.04,0.1,0.03,0.05,0.02,0.19,0.04
6,5,4,"prevalence",0.4,"power",0.32,0.04,0.11,0.05,0.07,0.13,0.04,0.04,0.05,0.26,0.04
6,5,4,"prevalence",0.45,"power",0.44,0.09,0.24,0.07,0.19,0.27,0.07,0.06,0.06,0.33,0.1
6,5,4,"prevalence",0.5,"power",0.55,0.11,0.2,0.09,0.11,0.3,0.08,0.05,0.08,0.46,0.08
6,5,4,"prevalence",0.55,"power",0.73,0.1,0.22,0.11,0.13,0.44,0.07,0.05,0.08,0.63,0.11
6,5,4,"prevalence",0.6,"power",0.8,0.03,0.29,0.04,0.21,0.5,0.03,0.05,0.02,0.76,0.04
6,6,5,"abundance",0.05,"power",0.04,0.07,0.03,0.07,0.07,0.04,0.09,0.1,0.08,0.02,0.08
6,6,5,"abundance",0.1,"power",0.02,0.04,0.03,0.07,0.01,0.04,0.02,0.02,0.02,0.03,0.03
6,6,5,"abundance",0.15,"power",0.06,0.03,0.03,0.05,0.07,0.05,0.03,0.05,0.03,0.13,0.05
6,6,5,"abundance",0.2,"power",0.08,0.12,0.06,0.12,0.13,0.08,0.1,0.06,0.09,0.06,0.14
6,6,5,"abundance",0.25,"power",0.05,0.06,0.01,0.05,0.08,0.02,0.07,0.04,0.08,0.06,0.06
6,6,5,"abundance",0.3,"power",0.01,0.06,0.05,0.09,0.07,0.01,0.1,0.03,0.11,0.02,0.07
6,6,5,"abundance",0.35,"power",0.09,0.14,0.05,0.1,0.19,0.05,0.14,0.06,0.12,0.02,0.16
6,6,5,"abundance",0.4,"power",0.08,0.09,0.04,0.08,0.13,0.05,0.06,0.03,0.06,0.04,0.12
6,6,5,"abundance",0.45,"power",0,0.14,0.06,0.15,0.25,0.04,0.16,0.07,0.18,0.02,0.18
6,6,5,"abundance",0.5,"power",0.05,0.21,0.04,0.19,0.33,0.08,0.26,0.13,0.21,0.03,0.24
6,6,5,"abundance",0.55,"power",0.03,0.21,0.03,0.21,0.36,0.05,0.29,0.19,0.29,0.05,0.29
6,6,5,"abundance",0.6,"power",0.06,0.21,0.02,0.19,0.43,0.1,0.36,0.17,0.32,0.05,0.33
6,6,5,"both",0.05,"power",0.07,0.02,0.04,0.05,0.04,0.06,0.04,0.02,0.04,0.07,0.03
6,6,5,"both",0.1,"power",0.07,0.08,0.05,0.08,0.09,0.05,0.05,0.06,0.06,0.04,0.08
6,6,5,"both",0.15,"power",0.01,0.1,0.04,0.11,0.08,0.05,0.06,0.03,0.05,0.04,0.1
6,6,5,"both",0.2,"power",0.08,0.04,0.06,0.06,0.07,0.06,0.02,0,0.02,0.08,0.05
6,6,5,"both",0.25,"power",0.06,0.08,0.1,0.08,0.14,0.07,0.11,0.11,0.12,0.07,0.1
6,6,5,"both",0.3,"power",0.22,0.11,0.11,0.1,0.23,0.21,0.13,0.02,0.12,0.2,0.16
6,6,5,"both",0.35,"power",0.2,0.1,0.09,0.15,0.33,0.31,0.22,0.14,0.21,0.18,0.17
6,6,5,"both",0.4,"power",0.28,0.26,0.13,0.26,0.41,0.37,0.23,0.1,0.23,0.26,0.34
6,6,5,"both",0.45,"power",0.26,0.2,0.2,0.21,0.41,0.46,0.19,0.09,0.21,0.28,0.24
6,6,5,"both",0.5,"power",0.4,0.19,0.2,0.22,0.64,0.63,0.4,0.1,0.37,0.41,0.38
6,6,5,"both",0.55,"power",0.53,0.28,0.17,0.24,0.77,0.76,0.42,0.17,0.41,0.48,0.41
6,6,5,"both",0.6,"power",0.69,0.4,0.18,0.38,0.94,0.9,0.64,0.18,0.59,0.62,0.64
6,6,5,"prevalence",0.05,"power",0.04,0.01,0.02,0.03,0.05,0.06,0.08,0.07,0.08,0.05,0.04
6,6,5,"prevalence",0.1,"power",0.08,0.03,0.06,0.02,0.07,0.08,0.03,0.02,0.03,0.09,0.06
6,6,5,"prevalence",0.15,"power",0.04,0.06,0.05,0.08,0.02,0.07,0.03,0.04,0.04,0.05,0.03
6,6,5,"prevalence",0.2,"power",0.11,0.04,0.07,0.02,0.04,0.06,0.05,0.03,0.05,0.08,0.05
6,6,5,"prevalence",0.25,"power",0.12,0.06,0.09,0.05,0.07,0.11,0.07,0.04,0.04,0.15,0.04
6,6,5,"prevalence",0.3,"power",0.12,0.03,0.07,0.04,0.06,0.07,0.06,0.02,0.03,0.1,0.04
6,6,5,"prevalence",0.35,"power",0.2,0.06,0.11,0.07,0.07,0.11,0.07,0.03,0.07,0.19,0.06
6,6,5,"prevalence",0.4,"power",0.3,0.07,0.17,0.04,0.07,0.18,0.08,0.07,0.07,0.26,0.06
6,6,5,"prevalence",0.45,"power",0.33,0.04,0.17,0.04,0.06,0.23,0.05,0.04,0.05,0.27,0.06
6,6,5,"prevalence",0.5,"power",0.38,0.09,0.19,0.06,0.11,0.27,0.08,0.04,0.06,0.37,0.06
6,6,5,"prevalence",0.55,"power",0.51,0,0.18,0,0.01,0.31,0.01,0.03,0.01,0.5,0
6,6,5,"prevalence",0.6,"power",0.71,0.05,0.25,0.04,0.17,0.37,0.05,0.07,0.06,0.63,0.06
8,1,4,"abundance",0.05,"power",0.04,0.06,0.05,0.06,0.06,0.04,0.04,0.11,0.07,0.05,0.05
8,1,4,"abundance",0.1,"power",0.03,0.07,0.01,0.06,0.02,0.02,0.02,0.04,0.02,0,0.08
8,1,4,"abundance",0.15,"power",0.05,0.07,0.04,0.05,0.06,0.04,0.08,0.08,0.11,0.05,0.03
8,1,4,"abundance",0.2,"power",0.09,0.06,0.06,0.07,0.04,0.1,0.09,0.07,0.09,0.06,0.06
8,1,4,"abundance",0.25,"power",0.05,0.15,0.07,0.09,0.12,0.05,0.1,0.08,0.1,0.09,0.15
8,1,4,"abundance",0.3,"power",0.02,0.1,0.07,0.13,0.14,0.02,0.06,0.06,0.06,0.02,0.12
8,1,4,"abundance",0.35,"power",0.04,0.14,0.04,0.14,0.21,0.05,0.14,0.11,0.16,0.03,0.19
8,1,4,"abundance",0.4,"power",0.04,0.08,0.04,0.07,0.2,0.03,0.11,0.07,0.11,0.04,0.16
8,1,4,"abundance",0.45,"power",0.07,0.13,0.05,0.11,0.22,0.09,0.13,0.08,0.13,0.05,0.18
