"k","signal_cluster","cluster_ordered","signal_mode","beta","summary_type","GLaD_0.5_unweighted","GLaD_0.5_weighted","GLaD_1_unweighted","GLaD_1_weighted","GUniFrac","aitchison","bray","euclidean","jaccard","unifrac_unweighted","unifrac_weighted_phyloseq"
8,3,8,"abundance",0,"type1_error",0.07,0.04,0.06,0.02,0.03,0.07,0.03,0.03,0.04,0.06,0.04
8,3,8,"both",0,"type1_error",0.04,0.05,0.04,0.02,0.05,0.02,0.07,0.07,0.09,0.06,0.04
8,3,8,"prevalence",0,"type1_error",0.04,0.03,0.04,0.05,0.08,0.07,0.05,0.05,0.05,0.01,0.05
8,4,3,"abundance",0,"type1_error",0.05,0.03,0.03,0.04,0.02,0.06,0.06,0.08,0.06,0.02,0.03
8,4,3,"both",0,"type1_error",0.03,0.09,0.03,0.07,0.05,0.03,0.04,0.05,0.04,0.05,0.07
8,4,3,"prevalence",0,"type1_error",0.03,0.08,0.07,0.07,0.05,0.09,0.02,0.03,0.03,0.03,0.07
8,5,7,"abundance",0,"type1_error",0.02,0.04,0.08,0.04,0.04,0.04,0.03,0.02,0.03,0.05,0.03
8,5,7,"both",0,"type1_error",0.05,0.09,0.04,0.07,0.05,0.06,0.06,0.05,0.05,0.04,0.06
8,5,7,"prevalence",0,"type1_error",0.03,0.02,0.05,0.02,0.05,0.05,0.05,0.01,0.06,0.05,0.03
8,6,5,"abundance",0,"type1_error",0.03,0.02,0.05,0.02,0.04,0.06,0.06,0.06,0.05,0.03,0.03
8,6,5,"both",0,"type1_error",0.02,0.03,0.05,0.01,0.06,0.01,0.05,0.07,0.05,0.06,0.03
8,6,5,"prevalence",0,"type1_error",0.03,0.03,0.04,0.04,0.05,0.04,0.04,0.02,0.05,0.03,0.04
8,7,2,"abundance",0,"type1_error",0.05,0.09,0.05,0.09,0.08,0.06,0.08,0.06,0.08,0.04,0.09
8,7,2,"both",0,"type1_error",0.05,0.07,0.03,0.04,0.07,0.02,0.04,0.05,0.04,0.06,0.05
8,7,2,"prevalence",0,"type1_error",0.04,0.06,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.02,0.03
8,8,6,"abundance",0,"type1_error",0.07,0.05,0.03,0.05,0.03,0.04,0.01,0.01,0.02,0.08,0.04
8,8,6,"both",0,"type1_error",0.05,0.08,0.02,0.06,0.07,0.06,0.04,0.1,0.07,0.06,0.08
8,8,6,"prevalence",0,"type1_error",0.05,0.04,0.05,0.03,0.02,0.06,0.02,0.03,0.03,0.04,0.02
10,1,4,"abundance",0,"type1_error",0.04,0.06,0.04,0.08,0.05,0.03,0.04,0.06,0.04,0.06,0.06
10,1,4,"both",0,"type1_error",0.04,0.02,0.04,0.02,0.04,0.03,0.05,0.02,0.06,0.04,0.02
10,1,4,"prevalence",0,"type1_error",0.05,0.07,0.03,0.07,0.06,0.06,0.08,0.03,0.05,0.05,0.07
10,2,1,"abundance",0,"type1_error",0.04,0.06,0.01,0.08,0.03,0.05,0.02,0.03,0.02,0.03,0.03
10,2,1,"both",0,"type1_error",0.05,0.02,0.06,0.05,0.01,0.05,0.03,0.04,0.03,0.04,0.03
10,2,1,"prevalence",0,"type1_error",0.03,0.03,0.04,0.04,0.04,0.05,0.01,0.02,0.02,0.05,0.03
10,3,10,"abundance",0,"type1_error",0.02,0.08,0.04,0.05,0.08,0.02,0.07,0.04,0.06,0.03,0.07
10,3,10,"both",0,"type1_error",0.02,0.04,0.04,0.05,0.03,0.01,0.04,0.07,0.04,0.05,0.05
10,3,10,"prevalence",0,"type1_error",0.06,0.05,0.01,0.05,0.04,0.05,0.09,0.13,0.07,0.07,0.04
10,4,3,"abundance",0,"type1_error",0.09,0.05,0.04,0.05,0.03,0.05,0.04,0.04,0.04,0.06,0.04
10,4,3,"both",0,"type1_error",0.09,0.05,0.06,0.05,0.04,0.09,0.07,0.07,0.07,0.07,0.04
10,4,3,"prevalence",0,"type1_error",0.03,0.07,0.06,0.07,0.08,0.07,0.1,0.09,0.11,0.03,0.1
10,5,9,"abundance",0,"type1_error",0.06,0.06,0.04,0.05,0.06,0.06,0.04,0.06,0.03,0.04,0.07
10,5,9,"both",0,"type1_error",0.07,0.06,0.04,0.07,0.05,0.08,0.05,0.04,0.05,0.05,0.05
10,5,9,"prevalence",0,"type1_error",0.04,0.06,0.05,0.03,0.02,0.02,0.05,0.04,0.03,0.09,0.07
10,6,5,"abundance",0,"type1_error",0.06,0.07,0.05,0.06,0.07,0.09,0.07,0.07,0.07,0.07,0.08
10,6,5,"both",0,"type1_error",0.04,0.04,0.02,0.04,0.04,0.04,0.03,0.04,0.02,0.04,0.04
10,6,5,"prevalence",0,"type1_error",0,0.07,0.07,0.04,0.05,0.02,0.08,0.07,0.07,0.02,0.07
10,7,6,"abundance",0,"type1_error",0.05,0.03,0.06,0.03,0.06,0.03,0.04,0.05,0.05,0.04,0.05
10,7,6,"both",0,"type1_error",0.05,0.06,0.02,0.04,0.07,0.06,0.06,0.04,0.06,0.07,0.08
10,7,6,"prevalence",0,"type1_error",0.09,0.01,0.05,0.04,0.07,0.07,0.06,0.03,0.06,0.06,0.04
10,8,7,"abundance",0,"type1_error",0.01,0.09,0.08,0.08,0.06,0.03,0.05,0.08,0.05,0.03,0.08
10,8,7,"both",0,"type1_error",0,0.02,0.03,0.02,0.02,0.04,0.01,0.01,0.01,0.03,0.01
10,8,7,"prevalence",0,"type1_error",0.03,0.03,0.03,0.02,0.03,0.05,0.04,0.04,0.05,0.04,0.03
10,9,8,"abundance",0,"type1_error",0.05,0.07,0.03,0.04,0.07,0.03,0.08,0.08,0.08,0.06,0.09
10,9,8,"both",0,"type1_error",0.03,0.08,0.06,0.07,0.03,0.01,0.03,0.03,0.04,0.03,0.06
10,9,8,"prevalence",0,"type1_error",0.04,0.07,0.06,0.06,0.07,0.03,0.06,0.04,0.06,0.04,0.08
10,10,2,"abundance",0,"type1_error",0.05,0.06,0.05,0.05,0.08,0.08,0.07,0.05,0.06,0.03,0.08
10,10,2,"both",0,"type1_error",0.07,0.05,0.05,0.05,0.03,0.06,0.06,0.05,0.06,0.05,0.06
