"rep_id","setting_id","k","signal_cluster","cluster_ordered","cluster_abund_sum_template","cluster_n_otus_template","signal_mode","beta","is_null","n_samples","y_mean","signal_mean_abs","signal_sd_abs","seed_sim","seed_test","runtime_sec","p_GLaD_0.5_weighted","p_GLaD_0.5_unweighted","p_GLaD_1_weighted","p_GLaD_1_unweighted","p_euclidean","p_bray","p_jaccard","p_aitchison","p_unifrac_unweighted","p_unifrac_weighted_phyloseq","p_GUniFrac","source_file"
1,6,2,2,2,431.473721737625,308,"abundance",0.8,0,100,0.41,753.439467693526,1024.40536323545,12351,2012351,5.374,0.001,0.626,0.002,0.424,0.162,0.006,0.004,0.354,0.619,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,8,2,2,2,431.473721737625,308,"abundance",1.2,0,100,0.54,942.442418880259,894.500473283755,12353,2012353,4.81699999999999,0.001,0.379,0.001,0.9,0.001,0.001,0.001,0.004,0.555,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,10,2,2,2,431.473721737625,308,"abundance",1.6,0,100,0.55,1320.32058616065,1155.0170276562,12355,2012355,4.982,0.001,0.087,0.001,0.038,0.001,0.001,0.001,0.001,0.078,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,12,2,2,2,431.473721737625,308,"abundance",2,0,100,0.5,1930.48138983234,3158.98772386595,12357,2012357,5.087,0.001,0.329,0.001,0.798,0.001,0.001,0.001,0.001,0.438,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,26,2,2,2,431.473721737625,308,"both",0,1,100,0.45,399.997084257498,184.588133967585,12371,2012371,5.55699999999999,0.156,0.693,0.226,0.431,0.327,0.656,0.598,0.713,0.73,0.441,0.889,"beta_div_sparse12_rep001.csv"
1,28,2,2,2,431.473721737625,308,"both",0.6,0,100,0.52,668.398762828575,367.316328941296,12373,2012373,5.96100000000001,0.001,0.001,0.001,0.001,0.04,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,30,2,2,2,431.473721737625,308,"both",0.8,0,100,0.51,878.148383931185,848.585573339668,12375,2012375,7.208,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,32,2,2,2,431.473721737625,308,"both",1.2,0,100,0.54,1286.91460314085,1172.17116727557,12377,2012377,5.87699999999998,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,34,2,2,2,431.473721737625,308,"both",1.6,0,100,0.49,1991.45182577913,1885.67755029496,12379,2012379,5.84999999999999,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,36,2,2,2,431.473721737625,308,"both",2,0,100,0.5,2854.92489292128,3130.9589285177,12381,2012381,6.554,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,14,2,2,2,431.473721737625,308,"prevalence",0,1,100,0.47,419.375410996629,212.386561917112,12359,2012359,4.483,0.975,0.111,0.986,0.675,0.759,0.908,0.844,0.33,0.01,0.945,0.764,"beta_div_sparse12_rep001.csv"
1,16,2,2,2,431.473721737625,308,"prevalence",0.6,0,100,0.5,449.592121808221,303.431839667624,12361,2012361,5.08200000000001,0.835,0.001,0.921,0.001,0.672,0.407,0.419,0.004,0.001,0.305,0.011,"beta_div_sparse12_rep001.csv"
1,18,2,2,2,431.473721737625,308,"prevalence",0.8,0,100,0.5,514.916946281939,321.685974450468,12363,2012363,4.536,0.024,0.001,0.018,0.001,0.688,0.067,0.087,0.001,0.001,0.004,0.001,"beta_div_sparse12_rep001.csv"
1,20,2,2,2,431.473721737625,308,"prevalence",1.2,0,100,0.46,506.254952405094,311.31912791502,12365,2012365,4.50800000000001,0.611,0.001,0.625,0.001,0.564,0.024,0.041,0.001,0.001,0.037,0.001,"beta_div_sparse12_rep001.csv"
1,22,2,2,2,431.473721737625,308,"prevalence",1.6,0,100,0.53,601.837143478514,311.623716191798,12367,2012367,5.05199999999999,0.022,0.001,0.138,0.001,0.018,0.001,0.001,0.001,0.001,0.002,0.001,"beta_div_sparse12_rep001.csv"
1,24,2,2,2,431.473721737625,308,"prevalence",2,0,100,0.53,589.499268931694,299.777670287427,12369,2012369,5.584,0.027,0.001,0.083,0.001,0.541,0.001,0.001,0.001,0.001,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,1,4,1,2,284.414243171936,154,"abundance",0,1,100,0.5,373.976764442553,623.773550587705,12382,2012382,5.88400000000001,0.644,0.574,0.419,0.334,0.609,0.561,0.526,0.367,0.498,0.701,0.39,"beta_div_sparse12_rep001.csv"
1,5,4,1,2,284.414243171936,154,"abundance",0.6,0,100,0.53,496.148844014996,627.825788871344,12386,2012386,5.97399999999999,0.115,0.549,0.148,0.752,0.264,0.078,0.058,0.275,0.438,0.014,0.002,"beta_div_sparse12_rep001.csv"
1,9,4,1,2,284.414243171936,154,"abundance",0.8,0,100,0.45,464.745998929599,466.611106151423,12390,2012390,6.02799999999996,0.002,0.219,0.002,0.822,0.094,0.001,0.001,0.041,0.307,0.001,0.001,"beta_div_sparse12_rep001.csv"
1,13,4,1,2,284.414243171936,154,"abundance",1.2,0,100,0.5,557.297377718447,608.888833043104,12394,2012394,6.61700000000002,0.001,0.363,0.001,0.331,0.011,0.001,0.001,0.008,0.472,0.001,0.001,"beta_div_sparse12_rep001.csv"
