"","source","Dissimilarity","IsMetric","IsEuclidean","FNI","pseudo_F","pseudo_R2","p_value","MiRKAT_Rsquared"
"1","Concordance_oral_16S","GLaD_0.5_weighted","YES","YES",0,0.825223526393869,0.0413641243318457,0.700700700700701,0.0036472540721007
"2","Concordance_oral_16S","GLaD_0.5_unweighted","YES","YES",0,1.11262905101439,0.0549782313041565,0.0870870870870871,0.00699304335447239
"3","Concordance_oral_16S","GLaD_1_weighted","YES","YES",3.71634631242844e-16,0.797849265366946,0.0400469458328882,0.705705705705706,0.0021306857585626
"4","Concordance_oral_16S","GLaD_1_unweighted","YES","YES",1.58224545908761e-16,1.33743398388988,0.0653604544279945,0.052052052052052,0.00316583104924543
"5","Concordance_oral_16S","manhattan","YES","NO",0.127789838656081,0.838538321522481,0.0420034919670759,0.813813813813814,0.00297937117748449
"6","Concordance_oral_16S","euclidean","YES","YES",1.29783379576955e-17,0.718003802323172,0.0361842294380405,0.867867867867868,0.00276090360111132
"7","Concordance_oral_16S","canberra","YES","YES",3.23145939932758e-19,1.10291911343527,0.0545245957950622,0.014014014014014,0.00660739794269816
"8","Concordance_oral_16S","clark","YES","YES",4.40967955812142e-18,1.07327528083144,0.0531369765937392,0.00800800800800801,0.00650295829256003
"9","Concordance_oral_16S","bray","NO","NO",0.0716472639360262,0.938483383241681,0.0467756951928678,0.600600600600601,0.00470476272305625
"10","Concordance_oral_16S","kulczynski","NO","NO",0.151731604038162,0.86318957927856,0.0431849806034167,0.793793793793794,0.00287197095624692
"11","Concordance_oral_16S","jaccard","YES","NO",0.00267376052529356,1.0056075945645,0.0499541600938077,0.421421421421421,0.00594530779998098
"12","Concordance_oral_16S","gower","YES","NO",0.0625227562164326,0.874763082481177,0.0437386722469441,0.798798798798799,0.00288971428129151
"13","Concordance_oral_16S","altGower","NO","NO",0.214328524955788,0.798172236355967,0.0400625074605065,0.780780780780781,0.000798225454920163
"14","Concordance_oral_16S","morisita","NO","NO",0.185647400948437,0.73842288724291,0.037175007119098,0.832832832832833,0.0031137194436446
"15","Concordance_oral_16S","horn","NO","NO",0.181369873037339,0.742338357455552,0.0373647614038333,0.810810810810811,0.00314447504993439
"16","Concordance_oral_16S","binomial","YES","NO",0.0142189046422464,1.06768453639933,0.0528748188223672,0.221221221221221,0.0060758144754011
"17","Concordance_oral_16S","chao","NO","NO",0.280498263735598,0.829956775640488,0.041591509566868,0.677677677677678,0.00365396552986314
"18","Concordance_oral_16S","cao","YES","NO",0.00825595300323691,1.14491562476795,0.0564834923816341,0.117117117117117,0.00555593242305972
"19","Concordance_oral_16S","chisq","YES","YES",0,0.608927250470416,0.0308568711509718,0.904904904904905,0.00479443414386863
"20","Concordance_oral_16S","chord","YES","YES",4.58244184422326e-18,0.862414247997486,0.043147864816175,0.752752752752753,0.00572220974049285
"21","Concordance_oral_16S","hellinger","YES","YES",1.01776408870663e-17,1.07461236104031,0.0531996526385304,0.227227227227227,0.00694445190199733
"22","Concordance_oral_16S","aitchison","YES","YES",6.16604753635772e-18,1.0936097684846,0.0540892663247918,0.163163163163163,0.00660521329213851
"23","Concordance_oral_16S","robust.aitchison","YES","YES",2.4142964162069e-18,1.07044307512142,0.0530041886746269,0.174174174174174,0.00622130114195483
"24","Concordance_oral_16S","unifrac_unweighted","YES","NO",0.0170108218441087,1.22786319216055,0.0603287694988041,0.0800800800800801,0.00659147937513217
"25","Concordance_oral_16S","unifrac_weighted_phyloseq","NO","NO",0.13149401868642,0.869753892330772,0.0434991046658682,0.665665665665666,0.00282531310682368
"26","Concordance_oral_16S","unifrac_weighted_gunifrac","NO","NO",0.13149401868642,0.869753892330772,0.0434991046658682,0.632632632632633,0.00282531310682369
"27","Concordance_oral_16S","GUniFrac","YES","NO",0.0710636443859458,1.02407519613891,0.0508249230384109,0.391391391391391,0.00524288189689665
"28","covid","GLaD_0.5_weighted","YES","YES",7.14402467534776e-18,1.07848477649634,0.126775320451494,0.339339339339339,0.0133799365085271
"29","covid","GLaD_0.5_unweighted","YES","YES",1.96954982462708e-17,1.40768441731925,0.159307793014379,0,0.0149878412073793
"30","covid","GLaD_1_weighted","YES","YES",0,0.935052637190575,0.111799936228409,0.486486486486487,0.0170891026480591
"31","covid","GLaD_1_unweighted","YES","YES",1.8351501110227e-18,1.99402087272534,0.211621261852846,0.003003003003003,0.0097684339859425
"32","covid","manhattan","YES","NO",0.0213573353751117,1.47467756660793,0.16563364311235,0,0.0133271043622333
"33","covid","euclidean","YES","YES",0,1.21405305379243,0.140472729813707,0.0540540540540541,0.0173954110556892
"34","covid","canberra","YES","YES",1.7103171676987e-17,1.15832208674148,0.134894194818634,0,0.0161931044205631
"35","covid","clark","YES","YES",4.10430077959136e-18,1.10740742339322,0.129734087044785,0,0.0163879903023427
"36","covid","bray","YES","NO",0.00259303583809892,1.45360322026887,0.163653978641217,0,0.0145163376426617
"37","covid","kulczynski","YES","NO",0.00538572531846847,1.42815289625553,0.161250688615448,0,0.0137153449739524
"38","covid","jaccard","YES","YES",0,1.29266140669147,0.148220031629565,0,0.0152932806938861
"39","covid","gower","YES","NO",0.0432123329206468,1.09522034320805,0.128489805069394,0.0770770770770771,0.0158307226972368
"40","covid","altGower","NO","NO",0.208360119086702,0.889740710025786,0.106961688284978,0.670670670670671,0.012178672518196
"41","covid","morisita","NO","NO",0.0823023963491077,1.2025884478907,0.139331036048846,0.0860860860860861,0.0110912909395669
"42","covid","horn","NO","NO",0.0820264840155993,1.20281734506083,0.139353860265833,0.0790790790790791,0.011103417200727
