"rep_id","setting_id","k","signal_cluster","cluster_ordered","cluster_abund_sum_template","cluster_n_otus_template","beta","is_null","n_samples","y_mean","signal_mean_abs","signal_sd_abs","seed_sim","seed_test","runtime_sec","p_GLaD_0.5_weighted","p_GLaD_0.5_unweighted","p_GLaD_1_weighted","p_GLaD_1_unweighted","p_euclidean","p_bray","p_jaccard","p_aitchison","p_unifrac_unweighted","p_unifrac_weighted_phyloseq","p_GUniFrac"
83,29,12,5,2,133.044236791808,66,0.8,0,100,0.49,140.423179674997,246.664442220135,832374,2832374,8.95100000000002,0.016,0.452,0.069,0.756,0.069,0.006,0.016,0.281,0.23,0.006,0.006
83,30,12,6,11,5.27504110111664,23,0.8,0,100,0.51,3.80485327453661,5.94446948091936,832375,2832375,8.56,0.549,0.046,0.504,0.101,0.972,0.301,0.26,0.043,0.017,0.205,0.065
83,31,12,7,10,11.0732266185605,26,0.8,0,100,0.43,11.6617026415552,17.1421082111059,832376,2832376,8.565,0.736,0.624,0.868,0.977,0.26,0.185,0.188,0.298,0.69,0.358,0.228
83,32,12,8,1,293.178789576476,145,0.8,0,100,0.6,308.602408804746,282.058706846325,832377,2832377,8.41699999999997,0.026,0.159,0.075,0.089,0.109,0.495,0.512,0.129,0.287,0.066,0.149
83,33,12,9,3,106.715084324911,54,0.8,0,100,0.48,113.413816379609,349.755943499543,832378,2832378,8.94900000000001,0.604,0.437,0.74,0.228,0.69,0.699,0.699,0.428,0.271,0.457,0.456
83,34,12,10,6,68.7845374439054,53,0.8,0,100,0.44,69.0981553228458,65.3533924865201,832379,2832379,9.01899999999995,0.915,0.46,0.972,0.035,0.904,0.63,0.602,0.825,0.508,0.59,0.526
83,35,12,11,12,5.09634064688554,21,0.8,0,100,0.46,5.65957627744256,11.318245579713,832380,2832380,8.97800000000001,0.818,0.106,0.848,0.071,0.708,0.601,0.602,0.096,0.301,0.638,0.245
83,36,12,12,9,12.7421518209905,20,0.8,0,100,0.58,15.3368943064892,20.3142224053299,832381,2832381,8.96199999999999,0.217,0.167,0.362,0.961,0.183,0.16,0.12,0.151,0.199,0.174,0.196
83,37,12,1,8,38.4045053101521,68,1.2,0,100,0.41,35.5409362893842,27.538142460646,832382,2832382,8.47399999999999,0.018,0.237,0.011,0.183,0.132,0.066,0.052,0.224,0.164,0.005,0.006
83,38,12,2,5,77.0330827660337,39,1.2,0,100,0.52,62.3392554359665,122.57672649243,832383,2832383,8.916,0.134,0.855,0.381,0.527,0.094,0.078,0.064,0.774,0.752,0.099,0.081
83,39,12,3,7,43.6751187922883,34,1.2,0,100,0.54,43.246278560601,31.4210709243362,832384,2832384,8.94300000000004,0.025,0.484,0.017,0.471,0.102,0.007,0.005,0.116,0.727,0.006,0.021
83,40,12,4,4,79.6953582744224,67,1.2,0,100,0.55,72.0869144281705,57.6666702816876,832385,2832385,8.84899999999999,0.396,0.01,0.52,0.51,0.181,0.284,0.301,0.065,0.004,0.282,0.312
83,41,12,5,2,133.044236791808,66,1.2,0,100,0.54,122.572821392486,134.181506374603,832386,2832386,8.40800000000002,0.046,0.652,0.063,0.71,0.23,0.425,0.404,0.801,0.479,0.089,0.253
83,42,12,6,11,5.27504110111664,23,1.2,0,100,0.36,7.56212270492067,19.7285628363856,832387,2832387,8.42599999999999,0.619,0.686,0.397,0.199,0.627,0.67,0.722,0.786,0.256,0.602,0.655
83,43,12,7,10,11.0732266185605,26,1.2,0,100,0.46,11.8345444651221,17.918086617257,832388,2832388,8.90499999999997,0.621,0.883,0.713,0.889,0.147,0.358,0.347,0.923,0.811,0.652,0.828
83,44,12,8,1,293.178789576476,145,1.2,0,100,0.43,305.19340057767,294.556246108719,832389,2832389,8.32799999999997,0.132,0.753,0.272,0.912,0.316,0.397,0.334,0.941,0.679,0.288,0.337
83,45,12,9,3,106.715084324911,54,1.2,0,100,0.39,119.600199790588,144.675227157252,832390,2832390,8.31,0.028,0.822,0.028,0.076,0.047,0.023,0.038,0.8,0.945,0.002,0.017
83,46,12,10,6,68.7845374439054,53,1.2,0,100,0.36,73.12432825401,74.7898516311273,832391,2832391,8.33000000000004,0.089,0.664,0.223,0.893,0.101,0.268,0.316,0.282,0.471,0.107,0.131
83,47,12,11,12,5.09634064688554,21,1.2,0,100,0.52,4.80413122055831,6.33143031020461,832392,2832392,8.74000000000001,0.003,0.029,0.004,0.245,0.028,0.034,0.03,0.019,0.023,0.001,0.003
83,48,12,12,9,12.7421518209905,20,1.2,0,100,0.42,10.4216952322089,8.24233602709755,832393,2832393,8.69299999999998,0.632,0.612,0.632,0.496,0.641,0.296,0.303,0.449,0.741,0.296,0.111
83,49,12,1,8,38.4045053101521,68,1.6,0,100,0.48,36.2886383795878,28.8380605317647,832394,2832394,8.322,0.053,0.166,0.121,0.48,0.213,0.143,0.177,0.429,0.26,0.072,0.038
83,50,12,2,5,77.0330827660337,39,1.6,0,100,0.47,52.4753700097305,116.953650055255,832395,2832395,8.47300000000001,0.118,0.032,0.286,0.366,0.088,0.07,0.081,0.021,0.122,0.118,0.13
83,51,12,3,7,43.6751187922883,34,1.6,0,100,0.4,47.368983270672,41.62259225543,832396,2832396,8.92000000000002,0.135,0.272,0.188,0.321,0.289,0.567,0.565,0.202,0.509,0.204,0.312
83,52,12,4,4,79.6953582744224,67,1.6,0,100,0.48,83.4675997161399,84.7100202345709,832397,2832397,8.48900000000003,0.158,0.018,0.304,0.584,0.085,0.066,0.076,0.012,0.038,0.139,0.103
83,53,12,5,2,133.044236791808,66,1.6,0,100,0.35,105.947581348163,120.022597614587,832398,2832398,8.32500000000005,0.023,0.098,0.079,0.18,0.026,0.044,0.04,0.272,0.059,0.003,0.014
83,54,12,6,11,5.27504110111664,23,1.6,0,100,0.43,4.00924183164072,6.73599970163532,832399,2832399,8.82399999999996,0.524,0.015,0.522,0.054,0.674,0.174,0.182,0.023,0.02,0.144,0.038
83,55,12,7,10,11.0732266185605,26,1.6,0,100,0.52,9.44274102830073,18.0918122955243,832400,2832400,8.17999999999995,0.153,0.614,0.131,0.272,0.477,0.2,0.245,0.263,0.804,0.124,0.233
83,56,12,8,1,293.178789576476,145,1.6,0,100,0.43,292.71249377884,202.840746830238,832401,2832401,8.31099999999992,0.001,0.011,0.001,0.005,0.002,0.004,0.003,0.019,0.018,0.001,0.001
83,57,12,9,3,106.715084324911,54,1.6,0,100,0.43,96.7172163896462,132.500309888356,832402,2832402,8.56399999999996,0.291,0.421,0.594,0.353,0.295,0.362,0.288,0.674,0.188,0.44,0.534
83,58,12,10,6,68.7845374439054,53,1.6,0,100,0.43,71.5767568258093,71.726316709319,832403,2832403,8.20299999999997,0.554,0.225,0.573,0.921,0.336,0.134,0.086,0.179,0.138,0.319,0.261
83,59,12,11,12,5.09634064688554,21,1.6,0,100,0.46,5.82591478897657,10.6246238739815,832404,2832404,8.3660000000001,0.404,0.146,0.633,0.902,0.166,0.211,0.226,0.161,0.118,0.45,0.329
83,60,12,12,9,12.7421518209905,20,1.6,0,100,0.43,12.3003114125641,13.6375049828723,832405,2832405,8.40099999999995,0.331,0.056,0.525,0.024,0.146,0.092,0.091,0.033,0.1,0.09,0.07
83,61,12,1,8,38.4045053101521,68,2,0,100,0.48,35.6919554667058,30.8951485008379,832406,2832406,8.93899999999996,0.276,0.001,0.229,0.058,0.413,0.033,0.045,0.002,0.001,0.083,0.005
83,62,12,2,5,77.0330827660337,39,2,0,100,0.42,36.6786844923206,55.6548140887958,832407,2832407,8.28399999999999,0.037,0.221,0.052,0.397,0.036,0.012,0.007,0.042,0.168,0.012,0.001
83,63,12,3,7,43.6751187922883,34,2,0,100,0.44,45.6563886753836,48.7913923033458,832408,2832408,8.322,0.074,0.05,0.086,0.039,0.168,0.117,0.077,0.189,0.091,0.028,0.03
83,64,12,4,4,79.6953582744224,67,2,0,100,0.48,86.3989638724777,63.1850963641412,832409,2832409,8.47399999999993,0.014,0.119,0.019,0.468,0.055,0.002,0.003,0.01,0.151,0.003,0.001
83,65,12,5,2,133.044236791808,66,2,0,100,0.42,124.464066122231,131.140184899154,832410,2832410,8.89100000000008,0.001,0.037,0.022,0.176,0.001,0.001,0.001,0.037,0.02,0.003,0.002
83,66,12,6,11,5.27504110111664,23,2,0,100,0.41,5.8865410033266,11.2499757223885,832411,2832411,8.42200000000003,0.599,0.76,0.606,0.267,0.333,0.531,0.563,0.645,0.861,0.414,0.28
83,67,12,7,10,11.0732266185605,26,2,0,100,0.49,12.0101327265758,23.0815351687383,832412,2832412,8.85199999999998,0.209,0.705,0.187,0.724,0.549,0.284,0.353,0.622,0.427,0.245,0.295
83,68,12,8,1,293.178789576476,145,2,0,100,0.48,276.223728795919,172.29150914512,832413,2832413,8.91399999999999,0.024,0.022,0.007,0.005,0.084,0.075,0.066,0.282,0.128,0.006,0.016
83,69,12,9,3,106.715084324911,54,2,0,100,0.46,96.7510072033002,132.69216913017,832414,2832414,8.46199999999999,0.181,0.723,0.321,0.29,0.086,0.258,0.181,0.959,0.478,0.051,0.103
83,70,12,10,6,68.7845374439054,53,2,0,100,0.39,57.4824542474069,48.7059248662429,832415,2832415,8.51999999999998,0.056,0.002,0.193,0.759,0.018,0.001,0.003,0.003,0.008,0.005,0.001
83,71,12,11,12,5.09634064688554,21,2,0,100,0.52,4.79864085421236,8.66210132687201,832416,2832416,8.91700000000003,0.266,0.014,0.241,0.111,0.33,0.23,0.271,0.012,0.007,0.071,0.019
83,72,12,12,9,12.7421518209905,20,2,0,100,0.37,12.1712451348965,15.2222473362478,832417,2832417,8.84299999999996,0.479,0.29,0.659,0.208,0.276,0.028,0.048,0.04,0.295,0.133,0.016
84,1,12,1,8,38.4045053101521,68,0,1,100,0.58,33.2771931106252,30.0184286270228,842346,2842346,44.818,0.065,0.102,0.064,0.462,0.108,0.065,0.063,0.144,0.113,0.101,0.077
84,2,12,2,5,77.0330827660337,39,0,1,100,0.51,69.049238861399,176.821996625054,842347,2842347,9.027,0.773,0.981,0.844,0.696,0.9,0.994,0.991,0.989,0.995,0.904,0.99
84,3,12,3,7,43.6751187922883,34,0,1,100,0.52,50.6327187057633,52.7450994969919,842348,2842348,9.23699999999999,0.584,0.615,0.662,0.446,0.586,0.446,0.377,0.547,0.742,0.464,0.483
84,4,12,4,4,79.6953582744224,67,0,1,100,0.47,112.011332050331,254.449278289156,842349,2842349,8.964,0.411,0.36,0.599,0.297,0.161,0.692,0.75,0.453,0.558,0.46,0.796
84,5,12,5,2,133.044236791808,66,0,1,100,0.52,158.381725012501,270.715203050246,842350,2842350,8.922,0.998,0.052,0.992,0.958,0.993,0.929,0.913,0.063,0.143,0.957,0.615
84,6,12,6,11,5.27504110111664,23,0,1,100,0.48,5.3280166785517,14.7727469985239,842351,2842351,8.896,0.961,0.604,0.939,0.426,0.83,0.898,0.912,0.572,0.563,0.976,0.988
84,7,12,7,10,11.0732266185605,26,0,1,100,0.5,8.58768511983322,10.6930893127527,842352,2842352,8.88700000000001,0.722,0.428,0.734,0.546,0.73,0.834,0.837,0.706,0.245,0.914,0.932
84,8,12,8,1,293.178789576476,145,0,1,100,0.51,308.299528628528,234.165286033394,842353,2842353,8.36699999999999,0.906,0.601,0.88,0.733,0.478,0.983,0.985,0.937,0.771,0.882,0.889
84,9,12,9,3,106.715084324911,54,0,1,100,0.48,112.023577761568,181.791753275299,842354,2842354,8.429,0.488,0.224,0.75,0.724,0.185,0.267,0.322,0.39,0.314,0.376,0.498
84,10,12,10,6,68.7845374439054,53,0,1,100,0.47,66.0722043219296,59.548894059428,842355,2842355,9.179,0.678,0.653,0.852,0.839,0.14,0.411,0.372,0.786,0.699,0.712,0.831
84,11,12,11,12,5.09634064688554,21,0,1,100,0.59,3.96122180415458,7.59994341489115,842356,2842356,8.292,0.103,0.927,0.205,0.264,0.024,0.098,0.076,0.937,0.88,0.096,0.126
84,12,12,12,9,12.7421518209905,20,0,1,100,0.48,10.9769227568764,10.0803379788044,842357,2842357,8.47799999999998,0.551,0.855,0.461,0.931,0.791,0.209,0.147,0.555,0.796,0.26,0.088
84,13,12,1,8,38.4045053101521,68,0.6,0,100,0.46,35.7622237703112,37.3380615138793,842358,2842358,8.44500000000002,0.893,0.024,0.967,0.016,0.743,0.21,0.17,0.036,0.041,0.427,0.078
84,14,12,2,5,77.0330827660337,39,0.6,0,100,0.46,83.3682862305804,259.113158682378,842359,2842359,8.50399999999999,0.51,0.377,0.441,0.508,0.133,0.83,0.846,0.722,0.462,0.57,0.611
84,15,12,3,7,43.6751187922883,34,0.6,0,100,0.56,42.7926821891142,33.3253645605082,842360,2842360,8.505,0.73,0.282,0.629,0.229,0.686,0.132,0.169,0.171,0.436,0.297,0.14
