"k","signal_mode","method","way","type1_error","n_nonmissing","total_weight","signal_cluster","cluster_n_otus_template","method_label"
8,"abundance","GUniFrac","abund_sum_x_mean_abund",0.0413,800,87471.7473,NA,NA,"GUniFrac"
8,"abundance","aitchison","abund_sum_x_mean_abund",0.0446,800,87471.7473,NA,NA,"Aitchison"
8,"abundance","bray","abund_sum_x_mean_abund",0.0507,800,87471.7473,NA,NA,"Bray-Curtis"
8,"abundance","euclidean","abund_sum_x_mean_abund",0.0559,800,87471.7473,NA,NA,"Euclidean"
8,"abundance","jaccard","abund_sum_x_mean_abund",0.0498,800,87471.7473,NA,NA,"Jaccard"
8,"both","GLaD_0.5_unweighted","abund_sum_x_mean_abund",0.0629,800,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
8,"both","GLaD_0.5_weighted","abund_sum_x_mean_abund",0.0375,800,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
8,"both","GLaD_1_unweighted","abund_sum_x_mean_abund",0.0604,800,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
8,"both","GLaD_1_weighted","abund_sum_x_mean_abund",0.0549,800,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
8,"both","unifrac_unweighted","abund_sum_x_mean_abund",0.0549,800,87471.7473,NA,NA,"Unweighted UniFrac"
8,"both","unifrac_weighted_phyloseq","abund_sum_x_mean_abund",0.0348,800,87471.7473,NA,NA,"Weighted UniFrac"
8,"both","GUniFrac","abund_sum_x_mean_abund",0.0388,800,87471.7473,NA,NA,"GUniFrac"
8,"both","aitchison","abund_sum_x_mean_abund",0.0591,800,87471.7473,NA,NA,"Aitchison"
8,"both","bray","abund_sum_x_mean_abund",0.0235,800,87471.7473,NA,NA,"Bray-Curtis"
8,"both","euclidean","abund_sum_x_mean_abund",0.0446,800,87471.7473,NA,NA,"Euclidean"
8,"both","jaccard","abund_sum_x_mean_abund",0.0259,800,87471.7473,NA,NA,"Jaccard"
8,"prevalence","GLaD_0.5_unweighted","abund_sum_x_mean_abund",0.0429,800,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
8,"prevalence","GLaD_0.5_weighted","abund_sum_x_mean_abund",0.0545,800,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
8,"prevalence","GLaD_1_unweighted","abund_sum_x_mean_abund",0.0472,800,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
8,"prevalence","GLaD_1_weighted","abund_sum_x_mean_abund",0.0494,800,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
8,"prevalence","unifrac_unweighted","abund_sum_x_mean_abund",0.0493,800,87471.7473,NA,NA,"Unweighted UniFrac"
8,"prevalence","unifrac_weighted_phyloseq","abund_sum_x_mean_abund",0.0476,800,87471.7473,NA,NA,"Weighted UniFrac"
8,"prevalence","GUniFrac","abund_sum_x_mean_abund",0.044,800,87471.7473,NA,NA,"GUniFrac"
8,"prevalence","aitchison","abund_sum_x_mean_abund",0.0451,800,87471.7473,NA,NA,"Aitchison"
8,"prevalence","bray","abund_sum_x_mean_abund",0.0396,800,87471.7473,NA,NA,"Bray-Curtis"
8,"prevalence","euclidean","abund_sum_x_mean_abund",0.0424,800,87471.7473,NA,NA,"Euclidean"
8,"prevalence","jaccard","abund_sum_x_mean_abund",0.0391,800,87471.7473,NA,NA,"Jaccard"
2,"abundance","GLaD_0.5_unweighted","max_n_otu_cluster",0.06,100,87471.7473,1,308,"Unweighted GLaD (rho = 0.5)"
2,"abundance","GLaD_0.5_weighted","max_n_otu_cluster",0.07,100,87471.7473,1,308,"Weighted GLaD (rho = 0.5)"
2,"abundance","GLaD_1_unweighted","max_n_otu_cluster",0.03,100,87471.7473,1,308,"Unweighted GLaD (rho = 1)"
2,"abundance","GLaD_1_weighted","max_n_otu_cluster",0.08,100,87471.7473,1,308,"Weighted GLaD (rho = 1)"
2,"abundance","unifrac_unweighted","max_n_otu_cluster",0.03,100,87471.7473,1,308,"Unweighted UniFrac"
2,"abundance","unifrac_weighted_phyloseq","max_n_otu_cluster",0.08,100,87471.7473,1,308,"Weighted UniFrac"
2,"abundance","GUniFrac","max_n_otu_cluster",0.06,100,87471.7473,1,308,"GUniFrac"
2,"abundance","aitchison","max_n_otu_cluster",0.09,100,87471.7473,1,308,"Aitchison"
2,"abundance","bray","max_n_otu_cluster",0.05,100,87471.7473,1,308,"Bray-Curtis"
2,"abundance","euclidean","max_n_otu_cluster",0.01,100,87471.7473,1,308,"Euclidean"
2,"abundance","jaccard","max_n_otu_cluster",0.04,100,87471.7473,1,308,"Jaccard"
2,"both","GLaD_0.5_unweighted","max_n_otu_cluster",0.02,100,87471.7473,1,308,"Unweighted GLaD (rho = 0.5)"
2,"both","GLaD_0.5_weighted","max_n_otu_cluster",0,100,87471.7473,1,308,"Weighted GLaD (rho = 0.5)"
2,"both","GLaD_1_unweighted","max_n_otu_cluster",0.06,100,87471.7473,1,308,"Unweighted GLaD (rho = 1)"
2,"both","GLaD_1_weighted","max_n_otu_cluster",0.01,100,87471.7473,1,308,"Weighted GLaD (rho = 1)"
2,"both","unifrac_unweighted","max_n_otu_cluster",0.03,100,87471.7473,1,308,"Unweighted UniFrac"
2,"both","unifrac_weighted_phyloseq","max_n_otu_cluster",0.01,100,87471.7473,1,308,"Weighted UniFrac"
2,"both","GUniFrac","max_n_otu_cluster",0.02,100,87471.7473,1,308,"GUniFrac"
2,"both","aitchison","max_n_otu_cluster",0.04,100,87471.7473,1,308,"Aitchison"
2,"both","bray","max_n_otu_cluster",0.06,100,87471.7473,1,308,"Bray-Curtis"
2,"both","euclidean","max_n_otu_cluster",0.02,100,87471.7473,1,308,"Euclidean"
2,"both","jaccard","max_n_otu_cluster",0.04,100,87471.7473,1,308,"Jaccard"
2,"prevalence","GLaD_0.5_unweighted","max_n_otu_cluster",0.06,100,87471.7473,1,308,"Unweighted GLaD (rho = 0.5)"
2,"prevalence","GLaD_0.5_weighted","max_n_otu_cluster",0.05,100,87471.7473,1,308,"Weighted GLaD (rho = 0.5)"
2,"prevalence","GLaD_1_unweighted","max_n_otu_cluster",0.06,100,87471.7473,1,308,"Unweighted GLaD (rho = 1)"
2,"prevalence","GLaD_1_weighted","max_n_otu_cluster",0.05,100,87471.7473,1,308,"Weighted GLaD (rho = 1)"
2,"prevalence","unifrac_unweighted","max_n_otu_cluster",0.06,100,87471.7473,1,308,"Unweighted UniFrac"
2,"prevalence","unifrac_weighted_phyloseq","max_n_otu_cluster",0.03,100,87471.7473,1,308,"Weighted UniFrac"
2,"prevalence","GUniFrac","max_n_otu_cluster",0.03,100,87471.7473,1,308,"GUniFrac"
2,"prevalence","aitchison","max_n_otu_cluster",0.03,100,87471.7473,1,308,"Aitchison"
2,"prevalence","bray","max_n_otu_cluster",0.02,100,87471.7473,1,308,"Bray-Curtis"
2,"prevalence","euclidean","max_n_otu_cluster",0.04,100,87471.7473,1,308,"Euclidean"
2,"prevalence","jaccard","max_n_otu_cluster",0.02,100,87471.7473,1,308,"Jaccard"
4,"abundance","GLaD_0.5_unweighted","max_n_otu_cluster",0.05,100,87471.7473,2,154,"Unweighted GLaD (rho = 0.5)"
4,"abundance","GLaD_0.5_weighted","max_n_otu_cluster",0.03,100,87471.7473,2,154,"Weighted GLaD (rho = 0.5)"
4,"abundance","GLaD_1_unweighted","max_n_otu_cluster",0.05,100,87471.7473,2,154,"Unweighted GLaD (rho = 1)"
4,"abundance","GLaD_1_weighted","max_n_otu_cluster",0.01,100,87471.7473,2,154,"Weighted GLaD (rho = 1)"
4,"abundance","unifrac_unweighted","max_n_otu_cluster",0.06,100,87471.7473,2,154,"Unweighted UniFrac"
4,"abundance","unifrac_weighted_phyloseq","max_n_otu_cluster",0.03,100,87471.7473,2,154,"Weighted UniFrac"
4,"abundance","GUniFrac","max_n_otu_cluster",0.03,100,87471.7473,2,154,"GUniFrac"
4,"abundance","aitchison","max_n_otu_cluster",0.02,100,87471.7473,2,154,"Aitchison"
4,"abundance","bray","max_n_otu_cluster",0.06,100,87471.7473,2,154,"Bray-Curtis"
4,"abundance","euclidean","max_n_otu_cluster",0.05,100,87471.7473,2,154,"Euclidean"
4,"abundance","jaccard","max_n_otu_cluster",0.05,100,87471.7473,2,154,"Jaccard"
4,"both","GLaD_0.5_unweighted","max_n_otu_cluster",0.07,100,87471.7473,2,154,"Unweighted GLaD (rho = 0.5)"
4,"both","GLaD_0.5_weighted","max_n_otu_cluster",0.05,100,87471.7473,2,154,"Weighted GLaD (rho = 0.5)"
4,"both","GLaD_1_unweighted","max_n_otu_cluster",0.04,100,87471.7473,2,154,"Unweighted GLaD (rho = 1)"
4,"both","GLaD_1_weighted","max_n_otu_cluster",0.06,100,87471.7473,2,154,"Weighted GLaD (rho = 1)"
4,"both","unifrac_unweighted","max_n_otu_cluster",0.06,100,87471.7473,2,154,"Unweighted UniFrac"
4,"both","unifrac_weighted_phyloseq","max_n_otu_cluster",0.05,100,87471.7473,2,154,"Weighted UniFrac"
4,"both","GUniFrac","max_n_otu_cluster",0.07,100,87471.7473,2,154,"GUniFrac"
4,"both","aitchison","max_n_otu_cluster",0.1,100,87471.7473,2,154,"Aitchison"
4,"both","bray","max_n_otu_cluster",0.04,100,87471.7473,2,154,"Bray-Curtis"
4,"both","euclidean","max_n_otu_cluster",0.03,100,87471.7473,2,154,"Euclidean"
4,"both","jaccard","max_n_otu_cluster",0.04,100,87471.7473,2,154,"Jaccard"
4,"prevalence","GLaD_0.5_unweighted","max_n_otu_cluster",0.06,100,87471.7473,2,154,"Unweighted GLaD (rho = 0.5)"
4,"prevalence","GLaD_0.5_weighted","max_n_otu_cluster",0.07,100,87471.7473,2,154,"Weighted GLaD (rho = 0.5)"
4,"prevalence","GLaD_1_unweighted","max_n_otu_cluster",0.02,100,87471.7473,2,154,"Unweighted GLaD (rho = 1)"
4,"prevalence","GLaD_1_weighted","max_n_otu_cluster",0.07,100,87471.7473,2,154,"Weighted GLaD (rho = 1)"
4,"prevalence","unifrac_unweighted","max_n_otu_cluster",0.02,100,87471.7473,2,154,"Unweighted UniFrac"
4,"prevalence","unifrac_weighted_phyloseq","max_n_otu_cluster",0.05,100,87471.7473,2,154,"Weighted UniFrac"
4,"prevalence","GUniFrac","max_n_otu_cluster",0.07,100,87471.7473,2,154,"GUniFrac"
4,"prevalence","aitchison","max_n_otu_cluster",0.1,100,87471.7473,2,154,"Aitchison"
4,"prevalence","bray","max_n_otu_cluster",0.1,100,87471.7473,2,154,"Bray-Curtis"
4,"prevalence","euclidean","max_n_otu_cluster",0.03,100,87471.7473,2,154,"Euclidean"
4,"prevalence","jaccard","max_n_otu_cluster",0.09,100,87471.7473,2,154,"Jaccard"
6,"abundance","GLaD_0.5_unweighted","max_n_otu_cluster",0.07,100,87471.7473,2,103,"Unweighted GLaD (rho = 0.5)"
6,"abundance","GLaD_0.5_weighted","max_n_otu_cluster",0.1,100,87471.7473,2,103,"Weighted GLaD (rho = 0.5)"
6,"abundance","GLaD_1_unweighted","max_n_otu_cluster",0.02,100,87471.7473,2,103,"Unweighted GLaD (rho = 1)"
6,"abundance","GLaD_1_weighted","max_n_otu_cluster",0.09,100,87471.7473,2,103,"Weighted GLaD (rho = 1)"
6,"abundance","unifrac_unweighted","max_n_otu_cluster",0.07,100,87471.7473,2,103,"Unweighted UniFrac"
6,"abundance","unifrac_weighted_phyloseq","max_n_otu_cluster",0.11,100,87471.7473,2,103,"Weighted UniFrac"
6,"abundance","GUniFrac","max_n_otu_cluster",0.11,100,87471.7473,2,103,"GUniFrac"
6,"abundance","aitchison","max_n_otu_cluster",0.05,100,87471.7473,2,103,"Aitchison"
6,"abundance","bray","max_n_otu_cluster",0.07,100,87471.7473,2,103,"Bray-Curtis"
6,"abundance","euclidean","max_n_otu_cluster",0.05,100,87471.7473,2,103,"Euclidean"
6,"abundance","jaccard","max_n_otu_cluster",0.07,100,87471.7473,2,103,"Jaccard"
6,"both","GLaD_0.5_unweighted","max_n_otu_cluster",0.04,100,87471.7473,2,103,"Unweighted GLaD (rho = 0.5)"
6,"both","GLaD_0.5_weighted","max_n_otu_cluster",0.09,100,87471.7473,2,103,"Weighted GLaD (rho = 0.5)"
6,"both","GLaD_1_unweighted","max_n_otu_cluster",0.06,100,87471.7473,2,103,"Unweighted GLaD (rho = 1)"
6,"both","GLaD_1_weighted","max_n_otu_cluster",0.09,100,87471.7473,2,103,"Weighted GLaD (rho = 1)"
6,"both","unifrac_unweighted","max_n_otu_cluster",0.05,100,87471.7473,2,103,"Unweighted UniFrac"
6,"both","unifrac_weighted_phyloseq","max_n_otu_cluster",0.08,100,87471.7473,2,103,"Weighted UniFrac"
6,"both","GUniFrac","max_n_otu_cluster",0.08,100,87471.7473,2,103,"GUniFrac"
6,"both","aitchison","max_n_otu_cluster",0.03,100,87471.7473,2,103,"Aitchison"
6,"both","bray","max_n_otu_cluster",0.06,100,87471.7473,2,103,"Bray-Curtis"
6,"both","euclidean","max_n_otu_cluster",0.05,100,87471.7473,2,103,"Euclidean"
6,"both","jaccard","max_n_otu_cluster",0.05,100,87471.7473,2,103,"Jaccard"
6,"prevalence","GLaD_0.5_unweighted","max_n_otu_cluster",0.06,100,87471.7473,2,103,"Unweighted GLaD (rho = 0.5)"
6,"prevalence","GLaD_0.5_weighted","max_n_otu_cluster",0.06,100,87471.7473,2,103,"Weighted GLaD (rho = 0.5)"
6,"prevalence","GLaD_1_unweighted","max_n_otu_cluster",0.06,100,87471.7473,2,103,"Unweighted GLaD (rho = 1)"
6,"prevalence","GLaD_1_weighted","max_n_otu_cluster",0.05,100,87471.7473,2,103,"Weighted GLaD (rho = 1)"
6,"prevalence","unifrac_unweighted","max_n_otu_cluster",0.09,100,87471.7473,2,103,"Unweighted UniFrac"
6,"prevalence","unifrac_weighted_phyloseq","max_n_otu_cluster",0.07,100,87471.7473,2,103,"Weighted UniFrac"
6,"prevalence","GUniFrac","max_n_otu_cluster",0.06,100,87471.7473,2,103,"GUniFrac"
6,"prevalence","aitchison","max_n_otu_cluster",0.06,100,87471.7473,2,103,"Aitchison"
6,"prevalence","bray","max_n_otu_cluster",0.06,100,87471.7473,2,103,"Bray-Curtis"
6,"prevalence","euclidean","max_n_otu_cluster",0.03,100,87471.7473,2,103,"Euclidean"
6,"prevalence","jaccard","max_n_otu_cluster",0.06,100,87471.7473,2,103,"Jaccard"
8,"abundance","GLaD_0.5_unweighted","max_n_otu_cluster",0.03,100,87471.7473,2,77,"Unweighted GLaD (rho = 0.5)"
8,"abundance","GLaD_0.5_weighted","max_n_otu_cluster",0.04,100,87471.7473,2,77,"Weighted GLaD (rho = 0.5)"
8,"abundance","GLaD_1_unweighted","max_n_otu_cluster",0.07,100,87471.7473,2,77,"Unweighted GLaD (rho = 1)"
8,"abundance","GLaD_1_weighted","max_n_otu_cluster",0.02,100,87471.7473,2,77,"Weighted GLaD (rho = 1)"
8,"abundance","unifrac_unweighted","max_n_otu_cluster",0.03,100,87471.7473,2,77,"Unweighted UniFrac"
8,"abundance","unifrac_weighted_phyloseq","max_n_otu_cluster",0.04,100,87471.7473,2,77,"Weighted UniFrac"
8,"abundance","GUniFrac","max_n_otu_cluster",0.05,100,87471.7473,2,77,"GUniFrac"
8,"abundance","aitchison","max_n_otu_cluster",0.04,100,87471.7473,2,77,"Aitchison"
8,"abundance","bray","max_n_otu_cluster",0.06,100,87471.7473,2,77,"Bray-Curtis"
8,"abundance","euclidean","max_n_otu_cluster",0.07,100,87471.7473,2,77,"Euclidean"
8,"abundance","jaccard","max_n_otu_cluster",0.06,100,87471.7473,2,77,"Jaccard"
8,"both","GLaD_0.5_unweighted","max_n_otu_cluster",0.09,100,87471.7473,2,77,"Unweighted GLaD (rho = 0.5)"
8,"both","GLaD_0.5_weighted","max_n_otu_cluster",0.03,100,87471.7473,2,77,"Weighted GLaD (rho = 0.5)"
8,"both","GLaD_1_unweighted","max_n_otu_cluster",0.07,100,87471.7473,2,77,"Unweighted GLaD (rho = 1)"
8,"both","GLaD_1_weighted","max_n_otu_cluster",0.05,100,87471.7473,2,77,"Weighted GLaD (rho = 1)"
8,"both","unifrac_unweighted","max_n_otu_cluster",0.05,100,87471.7473,2,77,"Unweighted UniFrac"
8,"both","unifrac_weighted_phyloseq","max_n_otu_cluster",0.02,100,87471.7473,2,77,"Weighted UniFrac"
8,"both","GUniFrac","max_n_otu_cluster",0.03,100,87471.7473,2,77,"GUniFrac"
8,"both","aitchison","max_n_otu_cluster",0.07,100,87471.7473,2,77,"Aitchison"
8,"both","bray","max_n_otu_cluster",0.02,100,87471.7473,2,77,"Bray-Curtis"
8,"both","euclidean","max_n_otu_cluster",0.02,100,87471.7473,2,77,"Euclidean"
8,"both","jaccard","max_n_otu_cluster",0.02,100,87471.7473,2,77,"Jaccard"
8,"prevalence","GLaD_0.5_unweighted","max_n_otu_cluster",0.04,100,87471.7473,2,77,"Unweighted GLaD (rho = 0.5)"
8,"prevalence","GLaD_0.5_weighted","max_n_otu_cluster",0.05,100,87471.7473,2,77,"Weighted GLaD (rho = 0.5)"
8,"prevalence","GLaD_1_unweighted","max_n_otu_cluster",0.07,100,87471.7473,2,77,"Unweighted GLaD (rho = 1)"
8,"prevalence","GLaD_1_weighted","max_n_otu_cluster",0.05,100,87471.7473,2,77,"Weighted GLaD (rho = 1)"
8,"prevalence","unifrac_unweighted","max_n_otu_cluster",0.05,100,87471.7473,2,77,"Unweighted UniFrac"
8,"prevalence","unifrac_weighted_phyloseq","max_n_otu_cluster",0.05,100,87471.7473,2,77,"Weighted UniFrac"
8,"prevalence","GUniFrac","max_n_otu_cluster",0.03,100,87471.7473,2,77,"GUniFrac"
8,"prevalence","aitchison","max_n_otu_cluster",0.05,100,87471.7473,2,77,"Aitchison"
8,"prevalence","bray","max_n_otu_cluster",0.02,100,87471.7473,2,77,"Bray-Curtis"
8,"prevalence","euclidean","max_n_otu_cluster",0.04,100,87471.7473,2,77,"Euclidean"
8,"prevalence","jaccard","max_n_otu_cluster",0.02,100,87471.7473,2,77,"Jaccard"
