"k","signal_mode","beta","signal_cluster","cluster_n_otus_template","method","power","n_nonmissing"
2,"prevalence",0.15,1,308,"GLaD_0.5_weighted",0.06,100
2,"prevalence",0.15,1,308,"GLaD_1_unweighted",0.26,100
2,"prevalence",0.15,1,308,"GLaD_1_weighted",0.06,100
2,"prevalence",0.15,1,308,"GUniFrac",0.04,100
2,"prevalence",0.15,1,308,"aitchison",0.06,100
2,"prevalence",0.15,1,308,"bray",0.02,100
2,"prevalence",0.15,1,308,"euclidean",0.04,100
2,"prevalence",0.15,1,308,"jaccard",0.03,100
2,"prevalence",0.15,1,308,"unifrac_unweighted",0.13,100
2,"prevalence",0.15,1,308,"unifrac_weighted_phyloseq",0.04,100
2,"prevalence",0.2,1,308,"GLaD_0.5_unweighted",0.26,100
2,"prevalence",0.2,1,308,"GLaD_0.5_weighted",0.04,100
2,"prevalence",0.2,1,308,"GLaD_1_unweighted",0.46,100
2,"prevalence",0.2,1,308,"GLaD_1_weighted",0.01,100
2,"prevalence",0.2,1,308,"GUniFrac",0.09,100
2,"prevalence",0.2,1,308,"aitchison",0.16,100
2,"prevalence",0.2,1,308,"bray",0.1,100
2,"prevalence",0.2,1,308,"euclidean",0.04,100
2,"prevalence",0.2,1,308,"jaccard",0.1,100
2,"prevalence",0.2,1,308,"unifrac_unweighted",0.18,100
2,"prevalence",0.2,1,308,"unifrac_weighted_phyloseq",0.08,100
2,"prevalence",0.25,1,308,"GLaD_0.5_unweighted",0.44,100
2,"prevalence",0.25,1,308,"GLaD_0.5_weighted",0.09,100
2,"prevalence",0.25,1,308,"GLaD_1_unweighted",0.66,100
2,"prevalence",0.25,1,308,"GLaD_1_weighted",0.1,100
2,"prevalence",0.25,1,308,"GUniFrac",0.13,100
2,"prevalence",0.25,1,308,"aitchison",0.19,100
2,"prevalence",0.25,1,308,"bray",0.03,100
2,"prevalence",0.25,1,308,"euclidean",0.06,100
2,"prevalence",0.25,1,308,"jaccard",0.02,100
2,"prevalence",0.25,1,308,"unifrac_unweighted",0.41,100
2,"prevalence",0.25,1,308,"unifrac_weighted_phyloseq",0.06,100
2,"prevalence",0.3,1,308,"GLaD_0.5_unweighted",0.66,100
2,"prevalence",0.3,1,308,"GLaD_0.5_weighted",0.03,100
2,"prevalence",0.3,1,308,"GLaD_1_unweighted",0.82,100
2,"prevalence",0.3,1,308,"GLaD_1_weighted",0.04,100
2,"prevalence",0.3,1,308,"GUniFrac",0.11,100
2,"prevalence",0.3,1,308,"aitchison",0.22,100
2,"prevalence",0.3,1,308,"bray",0.09,100
2,"prevalence",0.3,1,308,"euclidean",0.02,100
2,"prevalence",0.3,1,308,"jaccard",0.09,100
2,"prevalence",0.3,1,308,"unifrac_unweighted",0.44,100
2,"prevalence",0.3,1,308,"unifrac_weighted_phyloseq",0.04,100
2,"prevalence",0.35,1,308,"GLaD_0.5_unweighted",0.86,100
2,"prevalence",0.35,1,308,"GLaD_0.5_weighted",0.07,100
2,"prevalence",0.35,1,308,"GLaD_1_unweighted",0.87,100
2,"prevalence",0.35,1,308,"GLaD_1_weighted",0.07,100
2,"prevalence",0.35,1,308,"GUniFrac",0.14,100
2,"prevalence",0.35,1,308,"aitchison",0.34,100
2,"prevalence",0.35,1,308,"bray",0.03,100
2,"prevalence",0.35,1,308,"euclidean",0.07,100
2,"prevalence",0.35,1,308,"jaccard",0.04,100
2,"prevalence",0.35,1,308,"unifrac_unweighted",0.75,100
2,"prevalence",0.35,1,308,"unifrac_weighted_phyloseq",0.06,100
2,"prevalence",0.4,1,308,"GLaD_0.5_unweighted",0.99,100
2,"prevalence",0.4,1,308,"GLaD_0.5_weighted",0.09,100
2,"prevalence",0.4,1,308,"GLaD_1_unweighted",0.96,100
2,"prevalence",0.4,1,308,"GLaD_1_weighted",0.08,100
2,"prevalence",0.4,1,308,"GUniFrac",0.2,100
2,"prevalence",0.4,1,308,"aitchison",0.47,100
2,"prevalence",0.4,1,308,"bray",0.07,100
2,"prevalence",0.4,1,308,"euclidean",0.07,100
2,"prevalence",0.4,1,308,"jaccard",0.08,100
2,"prevalence",0.4,1,308,"unifrac_unweighted",0.88,100
2,"prevalence",0.4,1,308,"unifrac_weighted_phyloseq",0.08,100
2,"prevalence",0.45,1,308,"GLaD_0.5_unweighted",1,100
2,"prevalence",0.45,1,308,"GLaD_0.5_weighted",0.08,100
2,"prevalence",0.45,1,308,"GLaD_1_unweighted",0.99,100
2,"prevalence",0.45,1,308,"GLaD_1_weighted",0.04,100
2,"prevalence",0.45,1,308,"GUniFrac",0.27,100
2,"prevalence",0.45,1,308,"aitchison",0.65,100
2,"prevalence",0.45,1,308,"bray",0.11,100
2,"prevalence",0.45,1,308,"euclidean",0.05,100
2,"prevalence",0.45,1,308,"jaccard",0.12,100
2,"prevalence",0.45,1,308,"unifrac_unweighted",1,100
2,"prevalence",0.45,1,308,"unifrac_weighted_phyloseq",0.11,100
2,"prevalence",0.5,1,308,"GLaD_0.5_unweighted",1,100
2,"prevalence",0.5,1,308,"GLaD_0.5_weighted",0.11,100
2,"prevalence",0.5,1,308,"GLaD_1_unweighted",1,100
2,"prevalence",0.5,1,308,"GLaD_1_weighted",0.08,100
2,"prevalence",0.5,1,308,"GUniFrac",0.3,100
2,"prevalence",0.5,1,308,"aitchison",0.79,100
2,"prevalence",0.5,1,308,"bray",0.13,100
2,"prevalence",0.5,1,308,"euclidean",0.07,100
2,"prevalence",0.5,1,308,"jaccard",0.11,100
2,"prevalence",0.5,1,308,"unifrac_unweighted",1,100
2,"prevalence",0.5,1,308,"unifrac_weighted_phyloseq",0.14,100
2,"prevalence",0.55,1,308,"GLaD_0.5_unweighted",1,100
2,"prevalence",0.55,1,308,"GLaD_0.5_weighted",0.11,100
2,"prevalence",0.55,1,308,"GLaD_1_unweighted",1,100
2,"prevalence",0.55,1,308,"GLaD_1_weighted",0.13,100
2,"prevalence",0.55,1,308,"GUniFrac",0.5,100
2,"prevalence",0.55,1,308,"aitchison",0.94,100
2,"prevalence",0.55,1,308,"bray",0.08,100
2,"prevalence",0.55,1,308,"euclidean",0.05,100
2,"prevalence",0.55,1,308,"jaccard",0.08,100
2,"prevalence",0.55,1,308,"unifrac_unweighted",1,100
2,"prevalence",0.55,1,308,"unifrac_weighted_phyloseq",0.12,100
2,"prevalence",0.6,1,308,"GLaD_0.5_unweighted",1,100
2,"prevalence",0.6,1,308,"GLaD_0.5_weighted",0.12,100
2,"prevalence",0.6,1,308,"GLaD_1_unweighted",1,100
2,"prevalence",0.6,1,308,"GLaD_1_weighted",0.12,100
2,"prevalence",0.6,1,308,"GUniFrac",0.55,100
2,"prevalence",0.6,1,308,"aitchison",0.96,100
2,"prevalence",0.6,1,308,"bray",0.04,100
2,"prevalence",0.6,1,308,"euclidean",0.08,100
2,"prevalence",0.6,1,308,"jaccard",0.03,100
2,"prevalence",0.6,1,308,"unifrac_unweighted",1,100
2,"prevalence",0.6,1,308,"unifrac_weighted_phyloseq",0.11,100
2,"prevalence",0.65,1,308,"GLaD_0.5_unweighted",1,100
2,"prevalence",0.65,1,308,"GLaD_0.5_weighted",0.11,100
2,"prevalence",0.65,1,308,"GLaD_1_unweighted",1,100
2,"prevalence",0.65,1,308,"GLaD_1_weighted",0.17,100
2,"prevalence",0.65,1,308,"GUniFrac",0.72,100
2,"prevalence",0.65,1,308,"aitchison",0.99,100
2,"prevalence",0.65,1,308,"bray",0.06,100
2,"prevalence",0.65,1,308,"euclidean",0.04,100
2,"prevalence",0.65,1,308,"jaccard",0.07,100
2,"prevalence",0.65,1,308,"unifrac_unweighted",1,100
2,"prevalence",0.65,1,308,"unifrac_weighted_phyloseq",0.15,100
2,"prevalence",0.7,1,308,"GLaD_0.5_unweighted",1,100
2,"prevalence",0.7,1,308,"GLaD_0.5_weighted",0.1,100
2,"prevalence",0.7,1,308,"GLaD_1_unweighted",1,100
2,"prevalence",0.7,1,308,"GLaD_1_weighted",0.11,100
2,"prevalence",0.7,1,308,"GUniFrac",0.81,100
2,"prevalence",0.7,1,308,"aitchison",1,100
2,"prevalence",0.7,1,308,"bray",0.14,100
2,"prevalence",0.7,1,308,"euclidean",0.03,100
2,"prevalence",0.7,1,308,"jaccard",0.14,100
2,"prevalence",0.7,1,308,"unifrac_unweighted",1,100
2,"prevalence",0.7,1,308,"unifrac_weighted_phyloseq",0.2,100
2,"prevalence",0.75,1,308,"GLaD_0.5_unweighted",1,100
2,"prevalence",0.75,1,308,"GLaD_0.5_weighted",0.18,100
2,"prevalence",0.75,1,308,"GLaD_1_unweighted",1,100
2,"prevalence",0.75,1,308,"GLaD_1_weighted",0.17,100
2,"prevalence",0.75,1,308,"GUniFrac",0.94,100
2,"prevalence",0.75,1,308,"aitchison",1,100
2,"prevalence",0.75,1,308,"bray",0.26,100
2,"prevalence",0.75,1,308,"euclidean",0.11,100
2,"prevalence",0.75,1,308,"jaccard",0.25,100
2,"prevalence",0.75,1,308,"unifrac_unweighted",1,100
2,"prevalence",0.75,1,308,"unifrac_weighted_phyloseq",0.31,100
2,"prevalence",0.8,1,308,"GLaD_0.5_unweighted",1,100
2,"prevalence",0.8,1,308,"GLaD_0.5_weighted",0.2,100
2,"prevalence",0.8,1,308,"GLaD_1_unweighted",1,100
2,"prevalence",0.8,1,308,"GLaD_1_weighted",0.2,100
2,"prevalence",0.8,1,308,"GUniFrac",0.96,100
2,"prevalence",0.8,1,308,"aitchison",1,100
2,"prevalence",0.8,1,308,"bray",0.24,100
2,"prevalence",0.8,1,308,"euclidean",0.07,100
2,"prevalence",0.8,1,308,"jaccard",0.23,100
2,"prevalence",0.8,1,308,"unifrac_unweighted",1,100
2,"prevalence",0.8,1,308,"unifrac_weighted_phyloseq",0.27,100
2,"prevalence",0.85,1,308,"GLaD_0.5_unweighted",1,100
2,"prevalence",0.85,1,308,"GLaD_0.5_weighted",0.17,100
2,"prevalence",0.85,1,308,"GLaD_1_unweighted",1,100
2,"prevalence",0.85,1,308,"GLaD_1_weighted",0.19,100
2,"prevalence",0.85,1,308,"GUniFrac",0.98,100
2,"prevalence",0.85,1,308,"aitchison",1,100
2,"prevalence",0.85,1,308,"bray",0.29,100
2,"prevalence",0.85,1,308,"euclidean",0.05,100
2,"prevalence",0.85,1,308,"jaccard",0.25,100
2,"prevalence",0.85,1,308,"unifrac_unweighted",1,100
2,"prevalence",0.85,1,308,"unifrac_weighted_phyloseq",0.3,100
2,"prevalence",0.9,1,308,"GLaD_0.5_unweighted",1,100
2,"prevalence",0.9,1,308,"GLaD_0.5_weighted",0.19,100
2,"prevalence",0.9,1,308,"GLaD_1_unweighted",1,100
2,"prevalence",0.9,1,308,"GLaD_1_weighted",0.22,100
2,"prevalence",0.9,1,308,"GUniFrac",1,100
2,"prevalence",0.9,1,308,"aitchison",1,100
2,"prevalence",0.9,1,308,"bray",0.3,100
2,"prevalence",0.9,1,308,"euclidean",0.09,100
2,"prevalence",0.9,1,308,"jaccard",0.31,100
2,"prevalence",0.9,1,308,"unifrac_unweighted",1,100
2,"prevalence",0.9,1,308,"unifrac_weighted_phyloseq",0.32,100
2,"prevalence",0.95,1,308,"GLaD_0.5_unweighted",1,100
2,"prevalence",0.95,1,308,"GLaD_0.5_weighted",0.22,100
2,"prevalence",0.95,1,308,"GLaD_1_unweighted",1,100
2,"prevalence",0.95,1,308,"GLaD_1_weighted",0.23,100
2,"prevalence",0.95,1,308,"GUniFrac",1,100
2,"prevalence",0.95,1,308,"aitchison",1,100
2,"prevalence",0.95,1,308,"bray",0.37,100
2,"prevalence",0.95,1,308,"euclidean",0.06,100
2,"prevalence",0.95,1,308,"jaccard",0.3,100
2,"prevalence",0.95,1,308,"unifrac_unweighted",1,100
2,"prevalence",0.95,1,308,"unifrac_weighted_phyloseq",0.4,100
2,"prevalence",1,1,308,"GLaD_0.5_unweighted",1,100
2,"prevalence",1,1,308,"GLaD_0.5_weighted",0.26,100
2,"prevalence",1,1,308,"GLaD_1_unweighted",1,100
2,"prevalence",1,1,308,"GLaD_1_weighted",0.24,100
2,"prevalence",1,1,308,"GUniFrac",1,100
2,"prevalence",1,1,308,"aitchison",1,100
2,"prevalence",1,1,308,"bray",0.45,100
2,"prevalence",1,1,308,"euclidean",0.09,100
2,"prevalence",1,1,308,"jaccard",0.41,100
2,"prevalence",1,1,308,"unifrac_unweighted",1,100
2,"prevalence",1,1,308,"unifrac_weighted_phyloseq",0.47,100
4,"abundance",0.05,2,154,"GLaD_0.5_unweighted",0.05,100
4,"abundance",0.05,2,154,"GLaD_0.5_weighted",0.02,100
4,"abundance",0.05,2,154,"GLaD_1_unweighted",0.08,100
4,"abundance",0.05,2,154,"GLaD_1_weighted",0.04,100
4,"abundance",0.05,2,154,"GUniFrac",0.05,100
4,"abundance",0.05,2,154,"aitchison",0.01,100
4,"abundance",0.05,2,154,"bray",0.01,100
4,"abundance",0.05,2,154,"euclidean",0.03,100
4,"abundance",0.05,2,154,"jaccard",0.01,100
4,"abundance",0.05,2,154,"unifrac_unweighted",0.08,100
4,"abundance",0.05,2,154,"unifrac_weighted_phyloseq",0.03,100
4,"abundance",0.1,2,154,"GLaD_0.5_unweighted",0.06,100
4,"abundance",0.1,2,154,"GLaD_0.5_weighted",0.07,100
4,"abundance",0.1,2,154,"GLaD_1_unweighted",0.03,100
4,"abundance",0.1,2,154,"GLaD_1_weighted",0.1,100
4,"abundance",0.1,2,154,"GUniFrac",0.06,100
4,"abundance",0.1,2,154,"aitchison",0.02,100
4,"abundance",0.1,2,154,"bray",0.06,100
4,"abundance",0.1,2,154,"euclidean",0.07,100
4,"abundance",0.1,2,154,"jaccard",0.08,100
4,"abundance",0.1,2,154,"unifrac_unweighted",0.07,100
4,"abundance",0.1,2,154,"unifrac_weighted_phyloseq",0.07,100
4,"abundance",0.15,2,154,"GLaD_0.5_unweighted",0.03,100
4,"abundance",0.15,2,154,"GLaD_0.5_weighted",0.16,100
4,"abundance",0.15,2,154,"GLaD_1_unweighted",0.04,100
4,"abundance",0.15,2,154,"GLaD_1_weighted",0.13,100
4,"abundance",0.15,2,154,"GUniFrac",0.12,100
4,"abundance",0.15,2,154,"aitchison",0.06,100
4,"abundance",0.15,2,154,"bray",0.08,100
4,"abundance",0.15,2,154,"euclidean",0.08,100
4,"abundance",0.15,2,154,"jaccard",0.09,100
4,"abundance",0.15,2,154,"unifrac_unweighted",0.01,100
4,"abundance",0.15,2,154,"unifrac_weighted_phyloseq",0.17,100
4,"abundance",0.2,2,154,"GLaD_0.5_unweighted",0.05,100
4,"abundance",0.2,2,154,"GLaD_0.5_weighted",0.21,100
4,"abundance",0.2,2,154,"GLaD_1_unweighted",0.06,100
4,"abundance",0.2,2,154,"GLaD_1_weighted",0.19,100
4,"abundance",0.2,2,154,"GUniFrac",0.13,100
4,"abundance",0.2,2,154,"aitchison",0.03,100
4,"abundance",0.2,2,154,"bray",0.09,100
4,"abundance",0.2,2,154,"euclidean",0.1,100
4,"abundance",0.2,2,154,"jaccard",0.08,100
4,"abundance",0.2,2,154,"unifrac_unweighted",0.04,100
4,"abundance",0.2,2,154,"unifrac_weighted_phyloseq",0.13,100
4,"abundance",0.25,2,154,"GLaD_0.5_unweighted",0.05,100
4,"abundance",0.25,2,154,"GLaD_0.5_weighted",0.24,100
4,"abundance",0.25,2,154,"GLaD_1_unweighted",0.05,100
4,"abundance",0.25,2,154,"GLaD_1_weighted",0.28,100
4,"abundance",0.25,2,154,"GUniFrac",0.22,100
4,"abundance",0.25,2,154,"aitchison",0.09,100
4,"abundance",0.25,2,154,"bray",0.06,100
4,"abundance",0.25,2,154,"euclidean",0.06,100
4,"abundance",0.25,2,154,"jaccard",0.05,100
4,"abundance",0.25,2,154,"unifrac_unweighted",0.08,100
4,"abundance",0.25,2,154,"unifrac_weighted_phyloseq",0.27,100
4,"abundance",0.3,2,154,"GLaD_0.5_unweighted",0.07,100
4,"abundance",0.3,2,154,"GLaD_0.5_weighted",0.41,100
4,"abundance",0.3,2,154,"GLaD_1_unweighted",0.05,100
4,"abundance",0.3,2,154,"GLaD_1_weighted",0.44,100
4,"abundance",0.3,2,154,"GUniFrac",0.3,100
4,"abundance",0.3,2,154,"aitchison",0.07,100
4,"abundance",0.3,2,154,"bray",0.09,100
4,"abundance",0.3,2,154,"euclidean",0.11,100
4,"abundance",0.3,2,154,"jaccard",0.11,100
4,"abundance",0.3,2,154,"unifrac_unweighted",0.07,100
4,"abundance",0.3,2,154,"unifrac_weighted_phyloseq",0.4,100
4,"abundance",0.35,2,154,"GLaD_0.5_unweighted",0.06,100
4,"abundance",0.35,2,154,"GLaD_0.5_weighted",0.52,100
4,"abundance",0.35,2,154,"GLaD_1_unweighted",0.08,100
4,"abundance",0.35,2,154,"GLaD_1_weighted",0.53,100
4,"abundance",0.35,2,154,"GUniFrac",0.52,100
4,"abundance",0.35,2,154,"aitchison",0.07,100
4,"abundance",0.35,2,154,"bray",0.22,100
4,"abundance",0.35,2,154,"euclidean",0.2,100
4,"abundance",0.35,2,154,"jaccard",0.23,100
4,"abundance",0.35,2,154,"unifrac_unweighted",0.02,100
4,"abundance",0.35,2,154,"unifrac_weighted_phyloseq",0.53,100
4,"abundance",0.4,2,154,"GLaD_0.5_unweighted",0.06,100
4,"abundance",0.4,2,154,"GLaD_0.5_weighted",0.63,100
4,"abundance",0.4,2,154,"GLaD_1_unweighted",0.02,100
4,"abundance",0.4,2,154,"GLaD_1_weighted",0.65,100
4,"abundance",0.4,2,154,"GUniFrac",0.52,100
4,"abundance",0.4,2,154,"aitchison",0.07,100
4,"abundance",0.4,2,154,"bray",0.28,100
4,"abundance",0.4,2,154,"euclidean",0.19,100
4,"abundance",0.4,2,154,"jaccard",0.26,100
4,"abundance",0.4,2,154,"unifrac_unweighted",0.07,100
4,"abundance",0.4,2,154,"unifrac_weighted_phyloseq",0.64,100
4,"abundance",0.45,2,154,"GLaD_0.5_unweighted",0.04,100
4,"abundance",0.45,2,154,"GLaD_0.5_weighted",0.65,100
4,"abundance",0.45,2,154,"GLaD_1_unweighted",0.04,100
4,"abundance",0.45,2,154,"GLaD_1_weighted",0.65,100
4,"abundance",0.45,2,154,"GUniFrac",0.56,100
4,"abundance",0.45,2,154,"aitchison",0.09,100
4,"abundance",0.45,2,154,"bray",0.32,100
4,"abundance",0.45,2,154,"euclidean",0.2,100
4,"abundance",0.45,2,154,"jaccard",0.32,100
4,"abundance",0.45,2,154,"unifrac_unweighted",0.05,100
4,"abundance",0.45,2,154,"unifrac_weighted_phyloseq",0.67,100
4,"abundance",0.5,2,154,"GLaD_0.5_unweighted",0.05,100
4,"abundance",0.5,2,154,"GLaD_0.5_weighted",0.78,100
4,"abundance",0.5,2,154,"GLaD_1_unweighted",0.05,100
4,"abundance",0.5,2,154,"GLaD_1_weighted",0.8,100
4,"abundance",0.5,2,154,"GUniFrac",0.78,100
4,"abundance",0.5,2,154,"aitchison",0.1,100
4,"abundance",0.5,2,154,"bray",0.36,100
4,"abundance",0.5,2,154,"euclidean",0.21,100
4,"abundance",0.5,2,154,"jaccard",0.35,100
4,"abundance",0.5,2,154,"unifrac_unweighted",0.08,100
4,"abundance",0.5,2,154,"unifrac_weighted_phyloseq",0.82,100
4,"abundance",0.55,2,154,"GLaD_0.5_unweighted",0.06,100
4,"abundance",0.55,2,154,"GLaD_0.5_weighted",0.9,100
4,"abundance",0.55,2,154,"GLaD_1_unweighted",0.03,100
4,"abundance",0.55,2,154,"GLaD_1_weighted",0.89,100
4,"abundance",0.55,2,154,"GUniFrac",0.84,100
4,"abundance",0.55,2,154,"aitchison",0.09,100
4,"abundance",0.55,2,154,"bray",0.45,100
4,"abundance",0.55,2,154,"euclidean",0.29,100
4,"abundance",0.55,2,154,"jaccard",0.41,100
4,"abundance",0.55,2,154,"unifrac_unweighted",0.06,100
4,"abundance",0.55,2,154,"unifrac_weighted_phyloseq",0.9,100
4,"abundance",0.6,2,154,"GLaD_0.5_unweighted",0.01,100
4,"abundance",0.6,2,154,"GLaD_0.5_weighted",0.95,100
4,"abundance",0.6,2,154,"GLaD_1_unweighted",0.05,100
4,"abundance",0.6,2,154,"GLaD_1_weighted",0.95,100
4,"abundance",0.6,2,154,"GUniFrac",0.94,100
4,"abundance",0.6,2,154,"aitchison",0.08,100
4,"abundance",0.6,2,154,"bray",0.66,100
4,"abundance",0.6,2,154,"euclidean",0.4,100
4,"abundance",0.6,2,154,"jaccard",0.65,100
4,"abundance",0.6,2,154,"unifrac_unweighted",0.03,100
4,"abundance",0.6,2,154,"unifrac_weighted_phyloseq",0.99,100
4,"abundance",0.65,2,154,"GLaD_0.5_unweighted",0.06,100
4,"abundance",0.65,2,154,"GLaD_0.5_weighted",0.94,100
4,"abundance",0.65,2,154,"GLaD_1_unweighted",0.06,100
4,"abundance",0.65,2,154,"GLaD_1_weighted",0.96,100
4,"abundance",0.65,2,154,"GUniFrac",0.97,100
4,"abundance",0.65,2,154,"aitchison",0.15,100
4,"abundance",0.65,2,154,"bray",0.78,100
4,"abundance",0.65,2,154,"euclidean",0.47,100
4,"abundance",0.65,2,154,"jaccard",0.77,100
4,"abundance",0.65,2,154,"unifrac_unweighted",0.04,100
4,"abundance",0.65,2,154,"unifrac_weighted_phyloseq",0.96,100
4,"abundance",0.7,2,154,"GLaD_0.5_unweighted",0.05,100
4,"abundance",0.7,2,154,"GLaD_0.5_weighted",0.97,100
4,"abundance",0.7,2,154,"GLaD_1_unweighted",0.04,100
4,"abundance",0.7,2,154,"GLaD_1_weighted",0.97,100
4,"abundance",0.7,2,154,"GUniFrac",0.99,100
4,"abundance",0.7,2,154,"aitchison",0.14,100
4,"abundance",0.7,2,154,"bray",0.78,100
4,"abundance",0.7,2,154,"euclidean",0.48,100
4,"abundance",0.7,2,154,"jaccard",0.76,100
4,"abundance",0.7,2,154,"unifrac_unweighted",0.04,100
4,"abundance",0.7,2,154,"unifrac_weighted_phyloseq",0.99,100
4,"abundance",0.75,2,154,"GLaD_0.5_unweighted",0.06,100
4,"abundance",0.75,2,154,"GLaD_0.5_weighted",1,100
4,"abundance",0.75,2,154,"GLaD_1_unweighted",0.08,100
4,"abundance",0.75,2,154,"GLaD_1_weighted",1,100
4,"abundance",0.75,2,154,"GUniFrac",1,100
4,"abundance",0.75,2,154,"aitchison",0.21,100
4,"abundance",0.75,2,154,"bray",0.9,100
4,"abundance",0.75,2,154,"euclidean",0.6,100
4,"abundance",0.75,2,154,"jaccard",0.87,100
4,"abundance",0.75,2,154,"unifrac_unweighted",0.05,100
4,"abundance",0.75,2,154,"unifrac_weighted_phyloseq",1,100
4,"abundance",0.8,2,154,"GLaD_0.5_unweighted",0.07,100
4,"abundance",0.8,2,154,"GLaD_0.5_weighted",1,100
4,"abundance",0.8,2,154,"GLaD_1_unweighted",0.03,100
4,"abundance",0.8,2,154,"GLaD_1_weighted",1,100
4,"abundance",0.8,2,154,"GUniFrac",1,100
4,"abundance",0.8,2,154,"aitchison",0.2,100
4,"abundance",0.8,2,154,"bray",0.93,100
4,"abundance",0.8,2,154,"euclidean",0.64,100
4,"abundance",0.8,2,154,"jaccard",0.92,100
4,"abundance",0.8,2,154,"unifrac_unweighted",0.05,100
4,"abundance",0.8,2,154,"unifrac_weighted_phyloseq",1,100
4,"abundance",0.85,2,154,"GLaD_0.5_unweighted",0.05,100
4,"abundance",0.85,2,154,"GLaD_0.5_weighted",1,100
4,"abundance",0.85,2,154,"GLaD_1_unweighted",0.06,100
4,"abundance",0.85,2,154,"GLaD_1_weighted",1,100
4,"abundance",0.85,2,154,"GUniFrac",1,100
4,"abundance",0.85,2,154,"aitchison",0.18,100
4,"abundance",0.85,2,154,"bray",1,100
4,"abundance",0.85,2,154,"euclidean",0.72,100
4,"abundance",0.85,2,154,"jaccard",0.98,100
4,"abundance",0.85,2,154,"unifrac_unweighted",0.04,100
4,"abundance",0.85,2,154,"unifrac_weighted_phyloseq",1,100
4,"abundance",0.9,2,154,"GLaD_0.5_unweighted",0.03,100
4,"abundance",0.9,2,154,"GLaD_0.5_weighted",1,100
4,"abundance",0.9,2,154,"GLaD_1_unweighted",0.03,100
4,"abundance",0.9,2,154,"GLaD_1_weighted",1,100
4,"abundance",0.9,2,154,"GUniFrac",1,100
4,"abundance",0.9,2,154,"aitchison",0.33,100
4,"abundance",0.9,2,154,"bray",0.98,100
4,"abundance",0.9,2,154,"euclidean",0.82,100
4,"abundance",0.9,2,154,"jaccard",0.98,100
4,"abundance",0.9,2,154,"unifrac_unweighted",0.01,100
4,"abundance",0.9,2,154,"unifrac_weighted_phyloseq",1,100
4,"abundance",0.95,2,154,"GLaD_0.5_unweighted",0.06,100
4,"abundance",0.95,2,154,"GLaD_0.5_weighted",1,100
4,"abundance",0.95,2,154,"GLaD_1_unweighted",0.06,100
4,"abundance",0.95,2,154,"GLaD_1_weighted",1,100
4,"abundance",0.95,2,154,"GUniFrac",1,100
4,"abundance",0.95,2,154,"aitchison",0.25,100
4,"abundance",0.95,2,154,"bray",0.97,100
4,"abundance",0.95,2,154,"euclidean",0.82,100
4,"abundance",0.95,2,154,"jaccard",0.96,100
4,"abundance",0.95,2,154,"unifrac_unweighted",0.03,100
4,"abundance",0.95,2,154,"unifrac_weighted_phyloseq",1,100
4,"abundance",1,2,154,"GLaD_0.5_unweighted",0.05,100
4,"abundance",1,2,154,"GLaD_0.5_weighted",1,100
4,"abundance",1,2,154,"GLaD_1_unweighted",0.06,100
4,"abundance",1,2,154,"GLaD_1_weighted",1,100
4,"abundance",1,2,154,"GUniFrac",1,100
4,"abundance",1,2,154,"aitchison",0.44,100
4,"abundance",1,2,154,"bray",1,100
4,"abundance",1,2,154,"euclidean",0.85,100
4,"abundance",1,2,154,"jaccard",1,100
4,"abundance",1,2,154,"unifrac_unweighted",0.05,100
4,"abundance",1,2,154,"unifrac_weighted_phyloseq",1,100
4,"both",0.05,2,154,"GLaD_0.5_unweighted",0.02,100
4,"both",0.05,2,154,"GLaD_0.5_weighted",0.05,100
4,"both",0.05,2,154,"GLaD_1_unweighted",0.04,100
4,"both",0.05,2,154,"GLaD_1_weighted",0.05,100
4,"both",0.05,2,154,"GUniFrac",0.07,100
4,"both",0.05,2,154,"aitchison",0.04,100
4,"both",0.05,2,154,"bray",0.02,100
4,"both",0.05,2,154,"euclidean",0.03,100
4,"both",0.05,2,154,"jaccard",0.02,100
4,"both",0.05,2,154,"unifrac_unweighted",0.03,100
4,"both",0.05,2,154,"unifrac_weighted_phyloseq",0.05,100
4,"both",0.1,2,154,"GLaD_0.5_unweighted",0.02,100
4,"both",0.1,2,154,"GLaD_0.5_weighted",0.09,100
4,"both",0.1,2,154,"GLaD_1_unweighted",0.08,100
4,"both",0.1,2,154,"GLaD_1_weighted",0.12,100
4,"both",0.1,2,154,"GUniFrac",0.1,100
4,"both",0.1,2,154,"aitchison",0.04,100
4,"both",0.1,2,154,"bray",0.06,100
4,"both",0.1,2,154,"euclidean",0.1,100
4,"both",0.1,2,154,"jaccard",0.06,100
4,"both",0.1,2,154,"unifrac_unweighted",0.02,100
4,"both",0.1,2,154,"unifrac_weighted_phyloseq",0.1,100
4,"both",0.15,2,154,"GLaD_0.5_unweighted",0.09,100
4,"both",0.15,2,154,"GLaD_0.5_weighted",0.16,100
4,"both",0.15,2,154,"GLaD_1_unweighted",0.09,100
4,"both",0.15,2,154,"GLaD_1_weighted",0.2,100
4,"both",0.15,2,154,"GUniFrac",0.14,100
4,"both",0.15,2,154,"aitchison",0.11,100
4,"both",0.15,2,154,"bray",0.07,100
4,"both",0.15,2,154,"euclidean",0.05,100
4,"both",0.15,2,154,"jaccard",0.08,100
4,"both",0.15,2,154,"unifrac_unweighted",0.07,100
4,"both",0.15,2,154,"unifrac_weighted_phyloseq",0.18,100
