"k","signal_mode","beta","signal_cluster","cluster_n_otus_template","method","power","n_nonmissing"
2,"abundance",0.45,1,308,"GLaD_0.5_unweighted",0.06,100
2,"abundance",0.45,1,308,"GLaD_0.5_weighted",0.65,100
2,"abundance",0.45,1,308,"GLaD_1_unweighted",0.05,100
2,"abundance",0.45,1,308,"GLaD_1_weighted",0.67,100
2,"abundance",0.45,1,308,"GUniFrac",0.78,100
2,"abundance",0.45,1,308,"aitchison",0.12,100
2,"abundance",0.45,1,308,"bray",0.38,100
2,"abundance",0.45,1,308,"euclidean",0.21,100
2,"abundance",0.45,1,308,"jaccard",0.36,100
2,"abundance",0.45,1,308,"unifrac_unweighted",0.05,100
2,"abundance",0.45,1,308,"unifrac_weighted_phyloseq",0.75,100
2,"abundance",0.5,1,308,"GLaD_0.5_unweighted",0.12,100
2,"abundance",0.5,1,308,"GLaD_0.5_weighted",0.78,100
2,"abundance",0.5,1,308,"GLaD_1_unweighted",0.01,100
2,"abundance",0.5,1,308,"GLaD_1_weighted",0.79,100
2,"abundance",0.5,1,308,"GUniFrac",0.85,100
2,"abundance",0.5,1,308,"aitchison",0.21,100
2,"abundance",0.5,1,308,"bray",0.53,100
2,"abundance",0.5,1,308,"euclidean",0.26,100
2,"abundance",0.5,1,308,"jaccard",0.49,100
2,"abundance",0.5,1,308,"unifrac_unweighted",0.09,100
2,"abundance",0.5,1,308,"unifrac_weighted_phyloseq",0.82,100
2,"abundance",0.55,1,308,"GLaD_0.5_unweighted",0.03,100
2,"abundance",0.55,1,308,"GLaD_0.5_weighted",0.83,100
2,"abundance",0.55,1,308,"GLaD_1_unweighted",0.04,100
2,"abundance",0.55,1,308,"GLaD_1_weighted",0.84,100
2,"abundance",0.55,1,308,"GUniFrac",0.91,100
2,"abundance",0.55,1,308,"aitchison",0.12,100
2,"abundance",0.55,1,308,"bray",0.58,100
2,"abundance",0.55,1,308,"euclidean",0.23,100
2,"abundance",0.55,1,308,"jaccard",0.54,100
2,"abundance",0.55,1,308,"unifrac_unweighted",0.02,100
2,"abundance",0.55,1,308,"unifrac_weighted_phyloseq",0.9,100
2,"abundance",0.6,1,308,"GLaD_0.5_unweighted",0.06,100
2,"abundance",0.6,1,308,"GLaD_0.5_weighted",0.98,100
2,"abundance",0.6,1,308,"GLaD_1_unweighted",0.06,100
2,"abundance",0.6,1,308,"GLaD_1_weighted",0.98,100
2,"abundance",0.6,1,308,"GUniFrac",0.98,100
2,"abundance",0.6,1,308,"aitchison",0.18,100
2,"abundance",0.6,1,308,"bray",0.71,100
2,"abundance",0.6,1,308,"euclidean",0.35,100
2,"abundance",0.6,1,308,"jaccard",0.7,100
2,"abundance",0.6,1,308,"unifrac_unweighted",0.06,100
2,"abundance",0.6,1,308,"unifrac_weighted_phyloseq",0.98,100
2,"abundance",0.65,1,308,"GLaD_0.5_unweighted",0.03,100
2,"abundance",0.65,1,308,"GLaD_0.5_weighted",0.94,100
2,"abundance",0.65,1,308,"GLaD_1_unweighted",0.08,100
2,"abundance",0.65,1,308,"GLaD_1_weighted",0.95,100
2,"abundance",0.65,1,308,"GUniFrac",0.95,100
2,"abundance",0.65,1,308,"aitchison",0.19,100
2,"abundance",0.65,1,308,"bray",0.67,100
