"k","cluster","cluster_ordered_by_abundance","n_otus","overall_abundance","overall_abundance_fraction","medoid_otu","within_cop_n_pair","within_cop_mean","within_cop_sd","within_cop_min","within_cop_q1","within_cop_median","within_cop_q3","within_cop_max","within_cop_iqr"
3,1,3,93,133.450353379313,0.152563950563705,"3227",4278,0.289544459427357,0.0775639033655306,0,0.242285655248,0.340675686717,0.355304135646,0.35530413569,0.113018480398
3,2,1,311,429.771815763608,0.491326432590752,"4877",48205,0.352226316582821,0.0658776255069686,0.003074565912,0.3380938371464,0.354951452551,0.4151061077228,0.4151061077898,0.0770122705764
3,3,2,212,311.49530432463,0.356109616845541,"2135",22366,0.371944092901698,0.159333417862278,0,0.234092389922,0.322253966029,0.553216142355,0.803552742596,0.319123752433
