"k","signal_cluster","cluster_ordered","signal_mode","beta","method","power","n_nonmissing"
2,1,1,"abundance",0.65,"jaccard",0.69,100
2,1,1,"abundance",0.65,"unifrac_unweighted",0.03,100
2,1,1,"abundance",0.65,"unifrac_weighted_phyloseq",0.97,100
2,1,1,"abundance",0.7,"GLaD_0.5_unweighted",0.08,100
2,1,1,"abundance",0.7,"GLaD_0.5_weighted",0.94,100
2,1,1,"abundance",0.7,"GLaD_1_unweighted",0.04,100
2,1,1,"abundance",0.7,"GLaD_1_weighted",0.97,100
2,1,1,"abundance",0.7,"GUniFrac",1,100
2,1,1,"abundance",0.7,"aitchison",0.21,100
2,1,1,"abundance",0.7,"bray",0.83,100
2,1,1,"abundance",0.7,"euclidean",0.33,100
2,1,1,"abundance",0.7,"jaccard",0.79,100
2,1,1,"abundance",0.7,"unifrac_unweighted",0.05,100
2,1,1,"abundance",0.7,"unifrac_weighted_phyloseq",0.98,100
2,1,1,"abundance",0.75,"GLaD_0.5_unweighted",0.12,100
2,1,1,"abundance",0.75,"GLaD_0.5_weighted",0.99,100
2,1,1,"abundance",0.75,"GLaD_1_unweighted",0.05,100
2,1,1,"abundance",0.75,"GLaD_1_weighted",0.99,100
2,1,1,"abundance",0.75,"GUniFrac",0.99,100
2,1,1,"abundance",0.75,"aitchison",0.26,100
2,1,1,"abundance",0.75,"bray",0.89,100
2,1,1,"abundance",0.75,"euclidean",0.47,100
2,1,1,"abundance",0.75,"jaccard",0.87,100
2,1,1,"abundance",0.75,"unifrac_unweighted",0.06,100
2,1,1,"abundance",0.75,"unifrac_weighted_phyloseq",0.99,100
2,1,1,"abundance",0.8,"GLaD_0.5_unweighted",0.03,100
2,1,1,"abundance",0.8,"GLaD_0.5_weighted",1,100
2,1,1,"abundance",0.8,"GLaD_1_unweighted",0.06,100
2,1,1,"abundance",0.8,"GLaD_1_weighted",1,100
2,1,1,"abundance",0.8,"GUniFrac",1,100
2,1,1,"abundance",0.8,"aitchison",0.27,100
2,1,1,"abundance",0.8,"bray",0.93,100
2,1,1,"abundance",0.8,"euclidean",0.51,100
2,1,1,"abundance",0.8,"jaccard",0.92,100
2,1,1,"abundance",0.8,"unifrac_unweighted",0.01,100
2,1,1,"abundance",0.8,"unifrac_weighted_phyloseq",1,100
2,1,1,"abundance",0.85,"GLaD_0.5_unweighted",0.02,100
2,1,1,"abundance",0.85,"GLaD_0.5_weighted",1,100
2,1,1,"abundance",0.85,"GLaD_1_unweighted",0.01,100
2,1,1,"abundance",0.85,"GLaD_1_weighted",1,100
2,1,1,"abundance",0.85,"GUniFrac",1,100
2,1,1,"abundance",0.85,"aitchison",0.23,100
2,1,1,"abundance",0.85,"bray",0.96,100
2,1,1,"abundance",0.85,"euclidean",0.58,100
2,1,1,"abundance",0.85,"jaccard",0.96,100
2,1,1,"abundance",0.85,"unifrac_unweighted",0.03,100
2,1,1,"abundance",0.85,"unifrac_weighted_phyloseq",1,100
2,1,1,"abundance",0.9,"GLaD_0.5_unweighted",0.03,100
2,1,1,"abundance",0.9,"GLaD_0.5_weighted",1,100
2,1,1,"abundance",0.9,"GLaD_1_unweighted",0.02,100
2,1,1,"abundance",0.9,"GLaD_1_weighted",1,100
2,1,1,"abundance",0.9,"GUniFrac",1,100
2,1,1,"abundance",0.9,"aitchison",0.32,100
2,1,1,"abundance",0.9,"bray",1,100
2,1,1,"abundance",0.9,"euclidean",0.71,100
2,1,1,"abundance",0.9,"jaccard",1,100
2,1,1,"abundance",0.9,"unifrac_unweighted",0,100
2,1,1,"abundance",0.9,"unifrac_weighted_phyloseq",1,100
2,1,1,"abundance",0.95,"GLaD_0.5_unweighted",0.03,100
2,1,1,"abundance",0.95,"GLaD_0.5_weighted",1,100
2,1,1,"abundance",0.95,"GLaD_1_unweighted",0.03,100
2,1,1,"abundance",0.95,"GLaD_1_weighted",1,100
2,1,1,"abundance",0.95,"GUniFrac",1,100
2,1,1,"abundance",0.95,"aitchison",0.4,100
2,1,1,"abundance",0.95,"bray",1,100
2,1,1,"abundance",0.95,"euclidean",0.75,100
2,1,1,"abundance",0.95,"jaccard",1,100
2,1,1,"abundance",0.95,"unifrac_unweighted",0.05,100
2,1,1,"abundance",0.95,"unifrac_weighted_phyloseq",1,100
2,1,1,"abundance",1,"GLaD_0.5_unweighted",0.04,100
2,1,1,"abundance",1,"GLaD_0.5_weighted",1,100
2,1,1,"abundance",1,"GLaD_1_unweighted",0.05,100
2,1,1,"abundance",1,"GLaD_1_weighted",1,100
2,1,1,"abundance",1,"GUniFrac",1,100
2,1,1,"abundance",1,"aitchison",0.39,100
2,1,1,"abundance",1,"bray",1,100
2,1,1,"abundance",1,"euclidean",0.79,100
2,1,1,"abundance",1,"jaccard",1,100
2,1,1,"abundance",1,"unifrac_unweighted",0.05,100
2,1,1,"abundance",1,"unifrac_weighted_phyloseq",1,100
2,1,1,"both",0.05,"GLaD_0.5_unweighted",0.15,100
2,1,1,"both",0.05,"GLaD_0.5_weighted",0.04,100
2,1,1,"both",0.05,"GLaD_1_unweighted",0.09,100
2,1,1,"both",0.05,"GLaD_1_weighted",0.03,100
2,1,1,"both",0.05,"GUniFrac",0.04,100
2,1,1,"both",0.05,"aitchison",0.07,100
2,1,1,"both",0.05,"bray",0.07,100
2,1,1,"both",0.05,"euclidean",0.06,100
2,1,1,"both",0.05,"jaccard",0.07,100
2,1,1,"both",0.05,"unifrac_unweighted",0.08,100
2,1,1,"both",0.05,"unifrac_weighted_phyloseq",0.02,100
2,1,1,"both",0.1,"GLaD_0.5_unweighted",0.11,100
2,1,1,"both",0.1,"GLaD_0.5_weighted",0.08,100
2,1,1,"both",0.1,"GLaD_1_unweighted",0.16,100
2,1,1,"both",0.1,"GLaD_1_weighted",0.05,100
2,1,1,"both",0.1,"GUniFrac",0.05,100
2,1,1,"both",0.1,"aitchison",0.12,100
2,1,1,"both",0.1,"bray",0.09,100
2,1,1,"both",0.1,"euclidean",0.09,100
2,1,1,"both",0.1,"jaccard",0.08,100
2,1,1,"both",0.1,"unifrac_unweighted",0.11,100
2,1,1,"both",0.1,"unifrac_weighted_phyloseq",0.07,100
2,1,1,"both",0.15,"GLaD_0.5_unweighted",0.11,100
2,1,1,"both",0.15,"GLaD_0.5_weighted",0.11,100
2,1,1,"both",0.15,"GLaD_1_unweighted",0.23,100
2,1,1,"both",0.15,"GLaD_1_weighted",0.14,100
2,1,1,"both",0.15,"GUniFrac",0.2,100
2,1,1,"both",0.15,"aitchison",0.09,100
2,1,1,"both",0.15,"bray",0.11,100
2,1,1,"both",0.15,"euclidean",0.04,100
2,1,1,"both",0.15,"jaccard",0.11,100
2,1,1,"both",0.15,"unifrac_unweighted",0.17,100
2,1,1,"both",0.15,"unifrac_weighted_phyloseq",0.12,100
2,1,1,"both",0.2,"GLaD_0.5_unweighted",0.42,100
2,1,1,"both",0.2,"GLaD_0.5_weighted",0.3,100
2,1,1,"both",0.2,"GLaD_1_unweighted",0.43,100
2,1,1,"both",0.2,"GLaD_1_weighted",0.34,100
2,1,1,"both",0.2,"GUniFrac",0.38,100
2,1,1,"both",0.2,"aitchison",0.29,100
2,1,1,"both",0.2,"bray",0.15,100
2,1,1,"both",0.2,"euclidean",0.09,100
2,1,1,"both",0.2,"jaccard",0.13,100
2,1,1,"both",0.2,"unifrac_unweighted",0.26,100
2,1,1,"both",0.2,"unifrac_weighted_phyloseq",0.35,100
2,1,1,"both",0.25,"GLaD_0.5_unweighted",0.43,100
2,1,1,"both",0.25,"GLaD_0.5_weighted",0.39,100
2,1,1,"both",0.25,"GLaD_1_unweighted",0.61,100
2,1,1,"both",0.25,"GLaD_1_weighted",0.37,100
2,1,1,"both",0.25,"GUniFrac",0.52,100
2,1,1,"both",0.25,"aitchison",0.27,100
2,1,1,"both",0.25,"bray",0.18,100
2,1,1,"both",0.25,"euclidean",0.13,100
2,1,1,"both",0.25,"jaccard",0.17,100
2,1,1,"both",0.25,"unifrac_unweighted",0.31,100
2,1,1,"both",0.25,"unifrac_weighted_phyloseq",0.49,100
2,1,1,"both",0.3,"GLaD_0.5_unweighted",0.65,100
2,1,1,"both",0.3,"GLaD_0.5_weighted",0.51,100
